%1$d already matched	%1$d ya coincidían
%1$d areas were checked and everything they need is here.	Se comprobaron %1$d áreas y está todo lo que necesitan.
%1$d fields overridden	%1$d campos sobrescritos
%1$d fields will be overridden when requested	%1$d campos se sobrescribirán cuando se soliciten
%1$d gates selected	%1$d interruptores seleccionados
%1$d minutes left	Quedan %1$d minutos
%1$d rejected	%1$d rechazados
%1$d results	%1$d resultados
%1$d results so far	%1$d resultados hasta ahora
%1$d results so far, and more not counted	%1$d resultados hasta ahora, y más sin contar
%1$d results, filtered to %2$s	%1$d resultados, filtrados por %2$s
%1$d setting was not in that file and was left as it is	%1$d ajuste no estaba en ese archivo y se dejó como estaba
%1$d settings were not in that file and were left as they are	%1$d ajustes no estaban en ese archivo y se dejaron como estaban
%1$d unavailable	%1$d no disponibles
%1$s (%2$s)	%1$s (%2$s)
%1$s (TikTok value)	%1$s (valor de TikTok)
%1$s (custom, unverified)	%1$s (personalizado, sin verificar)
%1$s (override returned)	%1$s (se devolvió la sobrescritura)
%1$s (will be returned when requested)	%1$s (se devolverá cuando se solicite)
%1$s / current cache only	%1$s / solo caché actual
%1$s / generated registry	%1$s / registro generado
%1$s / generated registry and current cache	%1$s / registro generado y caché actual
%1$s / local catalog	%1$s / catálogo local
%1$s and above	%1$s y superior
%1$s appears more than once in this file.	%1$s aparece más de una vez en este archivo.
%1$s changed	%1$s cambiados
%1$s is already hidden	%1$s ya está oculto
%1$s destinations must start with %2$s	Los destinos de %1$s deben empezar por %2$s
%1$s has an invalid value. %2$s	%1$s tiene un valor no válido. %2$s
%1$s is a kind of value the Lab cannot override.	%1$s es un tipo de valor que el Lab no puede sustituir.
%1$s has type %2$s, but the file says %3$s.	%1$s tiene el tipo %2$s, pero el archivo indica %3$s.
%1$s is not a country code, so no video would ever match it. Use two letters, like GB, IE or US.	%1$s no es un código de país, así que ningún vídeo coincidiría nunca. Usa dos letras, como GB, IE o US.
%1$s is not in this Lab catalog.	%1$s no está en este catálogo del Lab.
%1$s isn't installed or doesn't take links	%1$s no está instalado o no acepta enlaces
%1$s left	Queda %1$s
%1$s min left	Quedan %1$s min
%1$s to %2$s	De %1$s a %2$s
%1$s videos left	Quedan %1$s videos
%1$s was rejected. %2$s	%1$s fue rechazado. %2$s
%1$s, %2$s, %3$s, %4$s, %5$s	%1$s, %2$s, %3$s, %4$s, %5$s
%1$s, selected	%1$s, seleccionado
%1$s. %2$s	%1$s. %2$s
%1$s: %2$d found, %3$d missing	%1$s: %2$d encontrados, %3$d faltan
%1$s: %2$d found, %3$d missing, and more it stopped counting	%1$s: %2$d encontrados, %3$d faltan, y más que dejó de contar
%1$s: %2$d found, %3$d missing, and more it stopped counting. First missing: %4$s	%1$s: %2$d encontrados, %3$d faltan, y más que dejó de contar. El primero que faltó: %4$s
%1$s: %2$d found, %3$d missing. First missing: %4$s	%1$s: %2$d encontrados, %3$d faltan. El primero que faltó: %4$s
%1$s: %2$s	%1$s: %2$s
1 field overridden	1 campo sobrescrito
Press and hold a profile picture to save the full size original to your photo destination.	Mantén pulsada una foto de perfil para guardar el original a tamaño completo en tu destino de fotos.
Press and hold a story to save it. Stories have no save button of their own, and holding one is how TikTok pauses it, so this takes that gesture over.	Mantén pulsada una historia para guardarla. Las historias no tienen botón de guardar propio, y mantenerlas pulsadas es como TikTok las pausa, así que esto se queda con ese gesto.
Press and hold the left or right third of the screen to jump back or forward. The middle third keeps the Long press action.	Mantén pulsado el tercio izquierdo o derecho de la pantalla para saltar atrás o adelante. El tercio central mantiene la acción de Pulsación larga.
Preview shortened. Save JSON includes the full report.	Vista previa recortada. Guardar JSON incluye el informe completo.
Privacy	Privacidad
Privacy and system	Privacidad y sistema
Profile	Perfil
Profile picture saved to %1$s	Foto de perfil guardada en %1$s
Profile share actions	Acciones de compartir del perfil
Promotional music	Música promocional
Proof	Prueba
Post age	Antigüedad de la publicación
Add a search box that filters comments already loaded on this video by text or username. It doesn't search all of TikTok or remove TikTok's suggested-search banner.	Añade un cuadro de búsqueda para filtrar los comentarios ya cargados de este video por texto o nombre de usuario. No busca en todo TikTok ni elimina su banner de búsquedas sugeridas.
Pulling down at the top of For You no longer reloads it.	Deslizar hacia abajo al principio de Para ti ya no lo recarga.
Putting the settings back to their defaults	Devolviendo los ajustes a sus valores de fábrica
Quality	Calidad
Quality, files, subtitles and hand-off	Calidad, archivos, subtítulos y traspaso
Quality, speed and auto-advance	Calidad, velocidad y avance automático
Silence the feed while comments are open	Silenciar el feed mientras los comentarios están abiertos
Reading	Lectura
Recorded gate reads (%1$d)	Lecturas de interruptores registradas (%1$d)
Recording gate reads. Use a feature, then return here to stop.	Registrando las lecturas de los interruptores. Usa una función y vuelve aquí para parar.
Put back the settings saved before the last restore or reset.	Recuperar los ajustes guardados antes de la última restauración o reinicio.
Recovered an interrupted settings change. Restart TikTok to apply this.	Se recuperó un cambio de ajustes interrumpido. Reinicia TikTok para que se aplique.
Refresh values	Actualizar los valores
Refreshing current TikTok cache...	Actualizando la caché actual de TikTok...
Region	Región
Country filters	Filtros por país
Remember the last speed	Recordar la última velocidad
Remind me every	Recordármelo cada
Remove	Quitar
Remove %1$s	Quitar %1$s
Remove all overrides	Quitar todas las sustituciones
Remove feed ads	Quitar los anuncios del feed
Remove feed ads, creator commission posts, paid partnerships, and branded content.	Quita los anuncios del feed, las publicaciones con comisión para creadores, las colaboraciones pagadas y el contenido de marca.
Hide voting cards and poll results above the comments, including polls that have ended.	Oculta las tarjetas de votación y sus resultados sobre los comentarios, incluidas las encuestas finalizadas.
Hide the Share via row.	Ocultar la fila Compartir con.
Hide the actions row of the share sheet.	Ocultar la fila de acciones del panel de compartir.
Hide the row of friends at the top of the share sheet.	Ocultar la fila de amigos de la parte de arriba del panel de compartir.
Remove tracking parameters from shared links.	Quitar los parámetros de seguimiento de los enlaces compartidos.
Remove watermark	Quitar la marca de agua
Removed %1$s	Se quitó %1$s
Replace values when TikTok asks for them	Reemplazar valores cuando TikTok los pide
Report saved to %1$s	Informe guardado en %1$s
Required	Obligatorio
Researched	Investigado
Researched values	Valores investigados
Reset	Restablecer
Reset %1$d gates of %2$d. Restart TikTok to apply this.	%1$d interruptores de %2$d restablecidos. Reinicia TikTok para aplicar esto.
Reset %1$d gates. Restart TikTok to apply this.	%1$d interruptores restablecidos. Reinicia TikTok para aplicar esto.
Reset 1 gate of %2$d. Restart TikTok to apply this.	1 interruptor de %2$d restablecido. Reinicia TikTok para aplicar esto.
Reset 1 gate. Restart TikTok to apply this.	1 interruptor restablecido. Reinicia TikTok para aplicar esto.
Reset override	Restablecer la sustitución
Reset position	Restablecer la posición
Reset settings	Reiniciar los ajustes
Restart now	Reiniciar ahora
Restart TikTok to apply %1$d changes	Reinicia TikTok para aplicar %1$d cambios
Restart TikTok to apply this change	Reinicia TikTok para aplicar este cambio
Restart TikTok to apply this.	Reinicia TikTok para que se aplique.
Restart pending	Reinicio pendiente
Put every setting back to its default straight away. Your current settings are kept for Undo.	Devolver cada ajuste a su valor de fábrica ahora mismo. Tus ajustes actuales se guardan para Deshacer.
Restore failed. Some settings may still be changed.	La restauración falló. Puede que algunos ajustes hayan cambiado igualmente.
Restore failed. Some settings may still be changed. Use Undo to put them back.	La restauración falló. Puede que algunos ajustes hayan cambiado igualmente. Usa Deshacer para recuperarlos.
Restore settings	Restaurar los ajustes
Lab settings put back. Restart TikTok to apply this.	Ajustes del Lab recuperados. Reinicia TikTok para que se aplique.
Restoring your settings	Restaurando tus ajustes
Resume videos after scrolling	Continuar los vídeos después de desplazarte
Retry	Reintentar
Return a copy with the fields below changed	Devolver una copia con los campos de abajo cambiados
Return after using a TikTok feature to see every gate read during the recording.	Vuelve después de usar una función de TikTok para ver cada lectura de interruptor durante la grabación.
Returns %1$s	Devuelve %1$s
Right column	Columna derecha
Rows	Filas
SIM country preset	País preestablecido de la SIM
STEM	STEM
Sanitize sharing links	Limpiar los enlaces al compartir
Save	Guardar
Save JSON	Guardar JSON
Save SRT files with the video. Paired saves use Movies on Android 11+, Download on Android 10, and your video folder on older versions.	Guardar los archivos SRT junto al vídeo. Los guardados emparejados usan Movies en Android 11 y superior, Download en Android 10, y tu carpeta de vídeos en versiones anteriores.
Save a profile picture on a long press	Guardar una foto de perfil con una pulsación larga
Save a story on a long press	Guardar una historia con una pulsación larga
Save every photo in the post as TikTok received it, not as the screen shows it.	Guardar cada foto de la publicación tal como la recibió TikTok, no como la muestra la pantalla.
Save field values	Guardar los valores de los campos
Save full report	Guardar informe completo
Save media	Guardar el contenido
Save Hushfeed settings and Feature Gate Lab rules to a JSON file.	Guardar los ajustes de Hushfeed y las reglas del Laboratorio de interruptores en un archivo JSON.
Save subtitles beside videos	Guardar los subtítulos junto a los vídeos
Save the latest available TikTok crash report for diagnostic export.	Guardar el último informe de fallo de TikTok disponible para exportarlo con el diagnóstico.
Save the original sound	Guardar el sonido original
Save the sound as well	Guardar también el sonido
Save videos without sound	Guardar los vídeos sin sonido
Save, restore, reset and undo your settings	Guarda, restaura, restablece y deshaz tus ajustes
Saved	Guardado
Saved %1$s	Guardado: %1$s
Saved %1$s of %2$s photos before the story failed	Se guardaron %1$s de %2$s fotos antes de que la historia fallara
Saved %1$s original photos	%1$s fotos originales guardadas
Saved one original photo	Se guardó una foto original
Saved, override off	Guardado, sustitución desactivada
Saved. Restart TikTok to apply this.	Guardado. Reinicia TikTok para que se aplique.
Saving	Guardando
Saving %1$s original photos	Guardando %1$s fotos originales
Saving one original photo	Guardando una foto original
Saving settings backup	Guardando la copia de seguridad de los ajustes
Saving sticker	Guardando el sticker
Saving the selected video quality	Guardando la calidad de vídeo elegida
Saving the selected video quality without sound	Guardando la calidad de vídeo elegida sin sonido
Saving the story	Guardando la historia
Saving video and subtitles to %1$s	Guardando el vídeo y los subtítulos en %1$s
Screen	Pantalla
Screen time	Tiempo de pantalla
Search	Búsqueda
Search by name, description or category.	Busca por nombre, descripción o categoría.
Search and override gates	Buscar y sustituir interruptores
Search countries or operators	Buscar países u operadores
Search hidden creators	Buscar creadores ocultos
Search settings	Buscar en los ajustes
Search share actions	Buscar acciones de compartir
Search within comments	Buscar en los comentarios
Search these comments	Buscar en estos comentarios
Search translated titles and descriptions, then open the original setting.	Buscar entre los títulos y las descripciones traducidos, y abrir después el ajuste original.
Ask TikTok for search results that aren't personalized to your account. This changes results, not search buttons or suggestions.	Pide a TikTok resultados de búsqueda que no estén personalizados para tu cuenta. Cambia los resultados, no los botones ni las sugerencias de búsqueda.
Search by name or gate key	Buscar por nombre o clave de gate
Seconds. Zero keeps every length. If everything the feed just sent would be filtered out, the video closest to your limit is kept so the feed is not empty.	Segundos. Cero acepta cualquier duración. Si se fuera a filtrar todo lo que el feed acaba de enviar, se deja el vídeo más cercano a tu límite para que el feed no quede vacío.
Seek by	Avanzar
Seek from the edges	Avanzar desde los bordes
Seen	Vistos
Seen this session	Visto en esta sesión
Seen videos	Vídeos vistos
Seen videos cleared. You can undo until TikTok closes.	Se borraron los vídeos vistos. Puedes deshacerlo hasta que se cierre TikTok.
Seen videos put back	Vídeos vistos recuperados
Select	Seleccionar
Select at least one field.	Selecciona al menos un campo.
Select every tab	Seleccionar todas las pestañas
Selected	Seleccionado
Send links to another app	Enviar los enlaces a otra app
Sending feedback	Enviando comentarios
Series posts	Publicaciones de Series
Settings	Ajustes
Settings are back to their defaults. Restart TikTok to apply all changes.	Los ajustes han vuelto a sus valores de fábrica. Reinicia TikTok para aplicar todos los cambios.
Settings backup saved	Copia de seguridad de los ajustes guardada
Settings couldn't open	No se pudo abrir Ajustes
Settings couldn't refresh completely. Reopen settings and try again.	No se pudo actualizar Ajustes por completo. Vuelve a abrir Ajustes e inténtalo de nuevo.
Settings restored. Restart TikTok to apply all changes.	Ajustes restaurados. Reinicia TikTok para aplicar todos los cambios.
Settings restored. The Feature Gate Lab rules were for another TikTok version and were left out. Restart TikTok to apply all changes.	Ajustes restaurados. Las reglas del Laboratorio de interruptores eran de otra versión de TikTok y se dejaron fuera. Reinicia TikTok para aplicar todos los cambios.
Share	Compartir
Hide share actions	Ocultar acciones de compartir
Share links through another host	Compartir los enlaces con otro host
Share sheet	Panel de compartir
Shop	Tienda
Shop posts	Publicaciones de la tienda
Show	Mostrar
Show @username beside a video instead of the display name the creator chose.	Mostrar @usuario junto al vídeo en vez del nombre visible que eligió el creador.
Show search in LIVE	Mostrar búsqueda en LIVE
Show TikTok's own progress bar on videos where it is normally hidden.	Mostrar la barra de progreso de TikTok en los vídeos donde normalmente está oculta.
Show TikTok's own sort sheet on every post, with its hot, newest, media and creator options, instead of whichever cut-down row your account was given. Restart TikTok to apply this. It reads the style once per run and remembers it.	Mostrar el panel de orden de TikTok en todas las publicaciones, con sus opciones de populares, más recientes, contenido y creador, en vez de la fila recortada que le tocó a tu cuenta. Reinicia TikTok para que se aplique. Lee el estilo una vez por ejecución y lo recuerda.
Show the search entry inside TikTok's LIVE drawer, where available. This doesn't add a search box to video comments.	Muestra la opción de búsqueda en el panel de LIVE de TikTok, si está disponible. No añade un cuadro de búsqueda a los comentarios de videos.
Show a video preview thumbnail while dragging the progress bar.	Mostrar una miniatura del vídeo mientras arrastras la barra de progreso.
Show the block button on videos	Mostrar el botón de bloquear en los vídeos
Show the block sound button	Mostrar el botón de bloquear sonido
Show failures on screen	Mostrar fallos en pantalla
Show gates	Mostrar interruptores
Show last report	Ver el último informe
Show the hide button on videos	Mostrar el botón de ocultar en los vídeos
Show the Not interested button	Mostrar el botón de No me interesa
Show the country a video was posted from next to the creator's name.	Mostrar el país desde el que se publicó un vídeo junto al nombre del creador.
Show the current spoken caption while the other controls are hidden.	Mostrar el subtítulo que se está diciendo mientras los demás controles están ocultos.
Show the handle instead of the name	Mostrar el nombre de usuario en vez del nombre
Show the progress bar	Mostrar la barra de progreso
Show the progress bar thumbnail	Mostrar la miniatura de la barra de progreso
Show the whole Activity and New followers lists instead of stopping at a View all button.	Mostrar las listas completas de Actividad y Nuevos seguidores en vez de pararse en un botón de Ver todo.
Show the whole video instead of cropping it to the window. Nothing changes on a tall phone, where it already fits. On a folding phone opened up, a squarer screen or a split view the sides or the ends stop being cut off.	Mostrar el vídeo entero en vez de recortarlo a la ventana. En un móvil alto no cambia nada, porque ya cabe. En un plegable abierto, en una pantalla más cuadrada o en vista dividida dejan de cortarse los lados o los extremos.
Show what is left of the budget	Mostrar lo que queda del límite
Show when the camera or microphone is in use	Mostrar cuando la cámara o el micrófono estén en uso
Show where a video was posted	Mostrar desde dónde se publicó un vídeo
Showing %1$s again	Mostrando %1$s otra vez
Hide videos with blocked sounds	Ocultar los vídeos con sonidos bloqueados
Skip content warnings	Saltar los avisos de contenido
Hide recorded LIVE broadcasts from the feed.	Ocultar del feed las emisiones LIVE grabadas.
Hide videos marked as using promotional music.	Ocultar los vídeos marcados como que usan música promocional.
Hide videos that use a sound blocked with the player's sound button, or named below.	Ocultar los vídeos que usen un sonido bloqueado con el botón de sonido del reproductor, o nombrado abajo.
Skipping videos with %1$s	Saltando los vídeos con %1$s
Something is missing from %1$s. Tap for the whole report.	Falta algo en %1$s. Toca para ver el informe completo.
Sound link copied	Enlace del sonido copiado
Sound saved to %1$s	Sonido guardado en %1$s
Source	Origen
Speed	Velocidad
Speed menu choices	Opciones del menú de velocidad
Split comment minimum width	Anchura mínima para los comentarios al lado
Start each new video at your default. A manual choice lasts until the video changes.	Empezar cada vídeo nuevo con tu velocidad predeterminada. Una elección manual dura hasta que cambia el vídeo.
Start feature gate recording	Empezar a grabar los interruptores
Start recording	Iniciar grabación
Start the day at	Empezar el día a las
Start today over	Empezar hoy de nuevo
Sticker	Sticker
Sticker destination	Destino de los stickers
Sticker saved to %1$s	Sticker guardado en %1$s
Still here. Nothing is waiting.	Sigues aquí. No hay nada esperando.
Still reading the record. Tap again in a moment.	Todavía se está leyendo el registro. Toca otra vez dentro de un momento.
Still saving the last one	Todavía se está guardando el anterior
Stop ByteDance AppLog events, AppsFlyer attribution, explicit Firebase screen reports and crash reporting from being sent. TikTok's own diagnostics go quiet with them.	Impedir que se envíen los eventos AppLog de ByteDance, la atribución de AppsFlyer, los informes explícitos de pantalla de Firebase y los informes de fallos. Los diagnósticos propios de TikTok se callan con ellos.
Stop TikTok asking the screen to run at the frame rate of the video it is playing. On a 90 or 120 Hz phone that ask slows the whole app down to the video's rate, scrolling included.	Impedir que TikTok pida que la pantalla funcione a la tasa de fotogramas del vídeo que está reproduciendo. En un móvil de 90 o 120 Hz esa petición ralentiza toda la app hasta la tasa del vídeo, el desplazamiento incluido.
Stop TikTok listening to the accelerometer, gyroscope, magnetometer and the other motion sensors it uses to fingerprint the phone. Saves the battery they wake.	Impide que TikTok escuche el acelerómetro, el giroscopio, el magnetómetro y los demás sensores de movimiento que usa para identificar el teléfono. Ahorra la batería que consumen.
Stop TikTok reading what you copied. Copying a link from TikTok still works.	Impide que TikTok lea lo que copiaste. Copiar un enlace desde TikTok sigue funcionando.
Stop TikTok reporting that you viewed a story or a profile, or that you are typing. Online status is unchanged. It cannot undo what the server has already recorded.	Impide que TikTok informe de que has visto una historia o un perfil, o de que estás escribiendo. El estado en línea no cambia. No puede deshacer lo que el servidor ya haya registrado.
Stop a long press on Like from opening TikTok's repost action.	Impedir que mantener pulsado Me gusta abra la acción de republicar de TikTok.
Stop a long press on Share from opening TikTok's quick share action.	Impedir que mantener pulsado Compartir abra la acción de compartir rápido de TikTok.
Stop feature gate recording	Parar de grabar los interruptores
Stop the brand animation that plays over the comments when what someone typed matches an advertiser's trigger.	Parar la animación de marca que sale sobre los comentarios cuando lo que alguien escribió coincide con el disparador de un anunciante.
Stop the bubble that asks you to share a video with friends after you like it.	Detiene la burbuja que pide compartir un video con amigos tras darle me gusta.
Keep websites outside TikTok from using its connection back into the app. TikTok pages such as Activity center, Watch history, shop checkout and CAPTCHA keep working.	Impide que los sitios web ajenos a TikTok usen su conexión con la aplicación. Las páginas de TikTok, como el Centro de actividades, el Historial de reproducciones, la caja de la tienda y el CAPTCHA, siguen funcionando.
Stop video looping	Parar la repetición de los vídeos
Stop videos at the end instead of replaying them.	Parar los vídeos al final en vez de volver a reproducirlos.
Stopped after dismissing %1$s suggested accounts	Se detuvo tras descartar %1$s cuentas sugeridas
Stopped after dismissing one suggested account	Se detuvo tras descartar una cuenta sugerida
Stories	Historias
Story saved to %1$s	Historia guardada en %1$s
Structured value observed	Valor estructurado observado
Subtitle language	Idioma de los subtítulos
Subtitles	Subtítulos
System	Sistema
Feed tabs to keep	Pestañas del feed que mantener
Hide the streak button in a chat and the reminder message that goes with it.	Ocultar el botón de racha de un chat y el mensaje recordatorio que lo acompaña.
Tap %1$s again to send	Toca %1$s otra vez para enviar
Tap a comment's heart twice within %1$d seconds. A double tap on the comment needs a second one too. Removing a like stays immediate.	Toca el corazón de un comentario dos veces en menos de %1$d segundos. Un doble toque en el comentario también necesita un segundo. Quitar un me gusta sigue siendo inmediato.
Tap a story's heart twice within %1$d seconds. Removing a like stays immediate.	Toca el corazón de una historia dos veces en menos de %1$d segundos. Quitar un me gusta sigue siendo inmediato.
Tap Repost on the bar under a video twice within %1$d seconds. A repost with a note is left alone.	Toca Repost en la barra bajo un vídeo dos veces en menos de %1$d segundos. Un repost con nota no se toca.
Tap again to follow	Toca otra vez para seguir
Tap again to like	Toca otra vez para dar me gusta
Tap again to repost	Toca otra vez para hacer repost
Tap again to send	Toca otra vez para enviar
Tap the feed Follow button twice within %1$d seconds.	Toca el botón Seguir del feed dos veces en menos de %1$d segundos.
Tap the like heart twice within %1$d seconds. Removing a like stays immediate.	Toca el corazón de me gusta dos veces en menos de %1$d segundos. Quitar un me gusta sigue siendo inmediato.
Tap to start the feed	Toca para poner el feed en marcha
Technical details	Detalles técnicos
Technical details, %1$s	Detalles técnicos, %1$s
That backup was written by a newer Hushfeed than this one. Nothing was altered.	Esa copia de seguridad la escribió un Hushfeed más nuevo que este. No se ha cambiado nada.
That creator is already in the list	Ese creador ya está en la lista
That creator pattern is too long to use, so it was skipped: %1$s	Ese patrón de creador es demasiado largo, así que se omitió: %1$s
That creator pattern is too long, so it was not added: %1$s	Ese patrón de creador es demasiado largo, así que no se añadió: %1$s
That file is not a loaded-values export, or it is larger than the Lab accepts	Ese archivo no es una exportación de valores cargados, o es más grande de lo que acepta el Lab
That file is not readable text, so it may have been damaged in transit. Nothing was altered.	Ese archivo no es texto legible, así que puede haberse dañado por el camino. No se ha cambiado nada.
That file is too large to be a settings backup. Nothing was altered.	Ese archivo es demasiado grande para ser una copia de seguridad de ajustes. No se ha cambiado nada.
That folder name has a character Android does not allow. Use letters, numbers, spaces or dashes.	El destino contiene un nombre de carpeta no válido.
That is %1$d minutes today	Eso son %1$d minutos hoy
That is %1$d videos today	Eso son %1$d vídeos hoy
That is not a Hushfeed settings backup. Nothing was altered.	Eso no es una copia de seguridad de ajustes de Hushfeed. No se ha cambiado nada.
That is not an app name. Try something like com.example.downloader, or leave the box empty to keep saving in TikTok.	Eso no es un nombre de app. Prueba con algo como com.example.downloader, o deja el campo vacío para seguir guardando en TikTok.
That is one minute today	Eso es un minuto hoy
That is one video today	Eso es un vídeo hoy
That list has too many entries. Keep it to %1$s or fewer.	Esa lista tiene demasiadas entradas. Limítala a %1$s o menos.
That list is too large. Keep it to %1$s KB or less.	Esa lista es demasiado grande. Limítala a %1$s KB o menos.
That preset is not recognized. Choose another.	Ajuste preestablecido de SIM no válido.
That settings backup contains a feed rule list larger than Hushfeed accepts. Nothing was altered.	Esa copia de seguridad contiene una lista de reglas del feed mayor de lo que Hushfeed admite. No se ha cambiado nada.
That settings backup holds a value Hushfeed cannot read. Nothing was altered.	Esa copia de seguridad contiene un valor que Hushfeed no puede leer. No se ha cambiado nada.
That settings backup holds more Feature Gate Lab rules than the Lab takes. Nothing was altered.	Esa copia de seguridad de ajustes tiene más reglas del Feature Gate Lab de las que el Lab acepta. No se ha cambiado nada.
That settings backup is damaged or only partly downloaded. Nothing was altered.	Esa copia de seguridad está dañada o solo se descargó en parte. No se ha cambiado nada.
That settings backup is incomplete, so it may have been cut short. Nothing was altered.	Esa copia de seguridad está incompleta, así que puede haberse cortado. No se ha cambiado nada.
That settings change did not go through. Nothing was altered.	Ese cambio de ajustes no llegó a aplicarse. No se ha cambiado nada.
That sticker is in a format Hushfeed cannot read	Ese sticker está en un formato que Hushfeed no puede leer
The Lab can't check this. TikTok gets it exactly as typed.	El Lab no puede verificar esto. TikTok lo recibe exactamente como lo escribes.
The Lab couldn't open. Go back and open it again.	El Lab no se pudo abrir. Vuelve atrás y ábrelo otra vez.
The Lab keeps at most %1$s rules. This change would make %2$s, so nothing was changed.	El Lab admite como máximo %1$s reglas. Este cambio daría un total de %2$s, así que no se cambió nada.
The catalog says this key is %1$s and this override is %2$s. Reset the override and make a new one.	El catálogo dice que esta clave es %1$s y esta anulación es %2$s. Restablece la anulación y crea una nueva.
The diagnostic report couldn't be saved yet. Try again in a moment.	Todavía no se pudo guardar el informe de diagnóstico. Inténtalo de nuevo en un momento.
The diagnostic report couldn't be saved. Try again.	No se pudo guardar el informe de diagnóstico. Inténtalo de nuevo.
The downloader app you chose isn't installed. Check Send links to another app under Downloads.	La aplicacion de descarga que elegiste no esta instalada. Revisa Enviar enlaces a otra aplicacion en Descargas.
The export failed and the partial file couldn't be removed. Delete it from your Downloads folder.	La exportación falló y el archivo a medias no se pudo quitar. Bórralo de tu carpeta de Descargas.
The feed dims over the last three quarters of a minute before the hold, so you arrive at it rather than land on it. Needs a time budget and a hold to arrive at.	El feed se oscurece en los últimos tres cuartos de minuto antes de la pausa, para que llegues a ella en lugar de caer. Necesita un presupuesto de tiempo y una pausa.
The feed does not end. This is a fine time to leave it.	El feed no se acaba. Este es un buen momento para dejarlo.
The feed is open again	El feed está abierto otra vez
The feed waits for one tap before it starts playing again when you come back to the app. Messages, profiles and search are still one tap away.	El feed espera un toque antes de reproducirse de nuevo cuando vuelves a la app. Mensajes, perfiles y búsqueda siguen a un toque.
The hour both budgets reset, on a 24 hour clock. Four in the morning by default, because someone still scrolling at one is having last night.	La hora a la que se reinician ambos límites, en formato de 24 horas. Las cuatro de la madrugada por defecto, porque quien sigue deslizando a la una todavía está en la noche anterior.
Last change put back. Restart TikTok to apply all changes.	Último cambio recuperado. Reinicia TikTok para aplicar todos los cambios.
Last change put back. The Feature Gate Lab rules were for another TikTok version and were left out. Restart TikTok to apply all changes.	Último cambio recuperado. Las reglas del Laboratorio de interruptores eran de otra versión de TikTok y se dejaron fuera. Reinicia TikTok para aplicar todos los cambios.
Show only videos with this many comments.	Mostrar solo vídeos con este número de comentarios.
Show only videos with this many favorites.	Mostrar solo vídeos con este número de favoritos.
Show only videos with this many likes.	Mostrar solo vídeos con este número de me gusta.
Show only videos with this many shares.	Mostrar solo vídeos compartidos este número de veces.
Show only videos with this many views.	Mostrar solo vídeos con este número de visualizaciones.
The original photos aren't available, so TikTok's own save runs instead	Las fotos originales no están disponibles, así que se usa el guardado propio de TikTok
The override changes no fields. Edit the field values, or reset the override.	La anulación no cambia ningún campo. Edita los valores de los campos o restablece la anulación.
The override couldn't be applied: %1$s. Edit the field values, or reset the override.	No se pudo aplicar la anulación: %1$s. Edita los valores de los campos o restablece la anulación.
The override doesn't say what list to return. Edit the field values, or reset the override.	La anulación no dice qué lista devolver. Edita los valores de los campos o restablece la anulación.
The profile picture couldn't be saved. Try again.	No se pudo guardar la foto de perfil.
The record of an interrupted settings change couldn't be read, so it was set aside. Check your settings.	No se pudo leer el registro de un cambio de ajustes interrumpido, así que se apartó. Revisa tus ajustes.
The report couldn't be saved. Try again.	No se pudo guardar el informe. Inténtalo otra vez.
The loaded-values file you chose couldn't be read. Try again.	No se pudo leer el archivo de valores cargados que elegiste. Inténtalo de nuevo.
The setting couldn't finish updating. Its saved value is shown.	No se pudo terminar de actualizar el ajuste. Se muestra el valor guardado.
The settings backup was rejected. Nothing was altered.	Se rechazó la copia de seguridad de los ajustes. No se ha cambiado nada.
The smallest value is above the largest	El valor mínimo es mayor que el máximo
The sound couldn't be saved. Try again.	No se pudo guardar el sonido. Inténtalo otra vez.
The sticker couldn't be saved. Try again.	No se pudo guardar el sticker. Inténtalo otra vez.
The story couldn't be saved. Try again.	No se pudo guardar la historia.
The thumbs down on each comment blocks the commenter instead of disliking. The comment dims, an undo banner follows, and a second tap unblocks.	El pulgar hacia abajo en cada comentario bloquea al comentarista en vez de dar No me gusta. El comentario se atenúa, un banner de deshacer sigue, y un segundo toque desbloquea.
The video couldn't be saved. Try again, or choose Automatic.	No se pudo guardar el vídeo. Inténtalo otra vez, o elige Automático.
There is no Lab change to undo.	No hay ningún cambio del Lab que deshacer.
There is no diagnostic data to clear	No hay datos de diagnóstico que borrar
There is no diagnostic data to put back	No hay datos de diagnóstico que restaurar
There was nothing to put back	No había nada que recuperar
These loaded values are for a different TikTok version.	Estos valores cargados son de otra versión de TikTok.
This catalog entry is no longer available. Refresh the Lab and try again.	Esta entrada del catálogo ya no está disponible. Actualiza el Laboratorio e inténtalo otra vez.
This change couldn't be saved. Try again.	No se pudo guardar este cambio. Inténtalo de nuevo.
This configuration has no fields that can be copied and changed safely on this build.	Esta configuración no tiene campos que se puedan copiar y cambiar con seguridad en esta compilación.
This file has more loaded values than the Lab takes at once.	Este archivo tiene más valores cargados de los que el Lab acepta de una vez.
This file has no loaded values in it.	Este archivo no contiene valores cargados.
This file isn't a loaded-values export from the Feature Gate Lab.	Este archivo no es una exportación de valores cargados del Feature Gate Lab.
This gate type is not supported.	Este tipo de gate no es compatible.
This key isn't in the local catalog, so its type can't be checked. Reset the override.	Esta clave no está en el catálogo local, así que no se puede comprobar su tipo. Restablece la anulación.
