%1$d already matched	%1$d já coincidiam
%1$d areas were checked and everything they need is here.	%1$d áreas foram verificadas e tudo de que precisam está aqui.
%1$d fields overridden	%1$d campos substituídos
%1$d fields will be overridden when requested	%1$d campos serão substituídos quando solicitados
%1$d gates selected	%1$d gates selecionados
%1$d minutes left	Restam %1$d minutos
%1$d rejected	%1$d rejeitados
%1$d results	%1$d resultados
%1$d results so far	%1$d resultados até agora
%1$d results so far, and more not counted	%1$d resultados até agora, e mais não contados
%1$d results, filtered to %2$s	%1$d resultados, filtrados por %2$s
%1$d setting was not in that file and was left as it is	%1$d configuração não estava nesse arquivo e ficou como estava
%1$d settings were not in that file and were left as they are	%1$d configurações não estavam nesse arquivo e ficaram como estavam
%1$d unavailable	%1$d indisponíveis
%1$s (%2$s)	%1$s (%2$s)
%1$s (TikTok value)	%1$s (valor do TikTok)
%1$s (custom, unverified)	%1$s (personalizado, não verificado)
%1$s (override returned)	%1$s (substituição retornada)
%1$s (will be returned when requested)	%1$s (será retornado quando solicitado)
%1$s / current cache only	%1$s / somente cache atual
%1$s / generated registry	%1$s / registro gerado
%1$s / generated registry and current cache	%1$s / registro gerado e cache atual
%1$s / local catalog	%1$s / catálogo local
%1$s and above	%1$s ou superior
%1$s appears more than once in this file.	%1$s aparece mais de uma vez neste arquivo.
%1$s changed	%1$s alterados
%1$s is already hidden	%1$s já está escondido
%1$s destinations must start with %2$s	Os destinos de %1$s precisam começar com %2$s
%1$s has an invalid value. %2$s	%1$s tem um valor inválido. %2$s
%1$s is a kind of value the Lab cannot override.	%1$s é um tipo de valor que o Lab não consegue substituir.
%1$s has type %2$s, but the file says %3$s.	%1$s tem o tipo %2$s, mas o arquivo informa %3$s.
%1$s is not a country code, so no video would ever match it. Use two letters, like GB, IE or US.	%1$s não é um código de país, então nenhum vídeo combinaria com ele. Use duas letras, como GB, IE ou US.
%1$s is not in this Lab catalog.	%1$s não está neste catálogo do Lab.
%1$s isn't installed or doesn't take links	%1$s não está instalado ou não aceita links
%1$s left	Resta %1$s
%1$s min left	Restam %1$s min
%1$s to %2$s	De %1$s a %2$s
%1$s videos left	Restam %1$s vídeos
%1$s was rejected. %2$s	%1$s foi rejeitado. %2$s
%1$s, %2$s, %3$s, %4$s, %5$s	%1$s, %2$s, %3$s, %4$s, %5$s
%1$s, selected	%1$s, selecionado
%1$s. %2$s	%1$s. %2$s
%1$s: %2$d found, %3$d missing	%1$s: %2$d encontrados, %3$d faltando
%1$s: %2$d found, %3$d missing, and more it stopped counting	%1$s: %2$d encontrados, %3$d faltando, e mais que parou de contar
%1$s: %2$d found, %3$d missing, and more it stopped counting. First missing: %4$s	%1$s: %2$d encontrados, %3$d faltando, e mais que parou de contar. O primeiro que faltou: %4$s
%1$s: %2$d found, %3$d missing. First missing: %4$s	%1$s: %2$d encontrados, %3$d faltando. O primeiro que faltou: %4$s
%1$s: %2$s	%1$s: %2$s
1 field overridden	1 campo substituído
Play videos TikTok has classified without the overlay asking to be tapped through first.	Tocar os vídeos que o TikTok classificou sem a camada que pede um toque para passar.
Playback	Reprodução
Player	Reprodutor
Player config	Configuração do player
Playlist posts	Publicações de playlists
Popular	Populares
Popups	Pop-ups
Press and hold a profile picture to save the full size original to your photo destination.	Segure uma foto de perfil para salvar o original em tamanho cheio no seu destino de fotos.
Press and hold a story to save it. Stories have no save button of their own, and holding one is how TikTok pauses it, so this takes that gesture over.	Segure um story para salvá-lo. Os stories não têm botão de salvar próprio, e segurar é como o TikTok os pausa, então isto assume esse gesto.
Press and hold the left or right third of the screen to jump back or forward. The middle third keeps the Long press action.	Segure o terço esquerdo ou direito da tela para pular para trás ou para frente. O terço do meio mantém a ação de Toque longo.
Preview shortened. Save JSON includes the full report.	Prévia encurtada. Salvar JSON traz o relatório inteiro.
Privacy	Privacidade
Privacy and system	Privacidade e sistema
Profile	Perfil
Profile picture saved to %1$s	Foto de perfil salva em %1$s
Profile share actions	Ações de compartilhamento do perfil
Promotional music	Música promocional
Proof	Comprovação
Post age	Idade da publicação
Add a search box that filters comments already loaded on this video by text or username. It doesn't search all of TikTok or remove TikTok's suggested-search banner.	Adicione uma caixa de pesquisa que filtra os comentários já carregados neste vídeo por texto ou nome de usuário. Ela não pesquisa em todo o TikTok nem remove o banner de sugestões de pesquisa.
Pulling down at the top of For You no longer reloads it.	Puxar para baixo no topo de Para você não recarrega mais o feed.
Putting the settings back to their defaults	Voltando as configurações para os padrões
Quality	Qualidade
Quality, files, subtitles and hand-off	Qualidade, arquivos, legendas e passagem
Quality, speed and auto-advance	Qualidade, velocidade e avanço automático
Silence the feed while comments are open	Silenciar o feed enquanto os comentários estão abertos
Reading	Leitura
Recorded gate reads (%1$d)	Leituras de gates registradas (%1$d)
Recording gate reads. Use a feature, then return here to stop.	Gravando as leituras dos gates. Use um recurso e volte aqui para parar.
Put back the settings saved before the last restore or reset.	Trazer de volta as configurações salvas antes da última restauração ou redefinição.
Recovered an interrupted settings change. Restart TikTok to apply this.	Uma mudança de configuração interrompida foi recuperada. Reinicie o TikTok para aplicar.
Refresh values	Atualizar os valores
Refreshing current TikTok cache...	Atualizando o cache atual do TikTok...
Region	Região
Country filters	Filtros por país
Remember the last speed	Lembrar a última velocidade
Remind me every	Me lembrar a cada
Remove	Remover
Remove %1$s	Remover %1$s
Remove all overrides	Remover todas as substituições
Remove feed ads	Remover os anúncios do feed
Remove feed ads, creator commission posts, paid partnerships, and branded content.	Remover anúncios do feed, posts com comissão do criador, parcerias pagas e conteúdo de marca.
Hide voting cards and poll results above the comments, including polls that have ended.	Oculte os cartões de votação e os resultados acima dos comentários, incluindo enquetes encerradas.
Hide the Share via row.	Esconder a linha Compartilhar via.
Hide the actions row of the share sheet.	Esconder a linha de ações da folha de compartilhamento.
Hide the row of friends at the top of the share sheet.	Esconder a linha de amigos no topo da folha de compartilhamento.
Remove tracking parameters from shared links.	Remover os parâmetros de rastreamento dos links compartilhados.
Remove watermark	Remover a marca d'água
Removed %1$s	%1$s removido
Replace values when TikTok asks for them	Substituir valores quando o TikTok os pede
Report saved to %1$s	Relatório salvo em %1$s
Required	Obrigatório
Researched	Pesquisado
Researched values	Valores pesquisados
Reset	Redefinir
Reset %1$d gates of %2$d. Restart TikTok to apply this.	%1$d de %2$d gates redefinidos. Reinicie o TikTok para aplicar.
Reset %1$d gates. Restart TikTok to apply this.	%1$d gates redefinidos. Reinicie o TikTok para aplicar.
Reset 1 gate of %2$d. Restart TikTok to apply this.	1 de %2$d gates redefinido. Reinicie o TikTok para aplicar.
Reset 1 gate. Restart TikTok to apply this.	1 gate redefinido. Reinicie o TikTok para aplicar.
Reset override	Redefinir a substituição
Reset position	Redefinir a posição
Reset settings	Redefinir as configurações
Restart now	Reiniciar agora
Restart TikTok to apply %1$d changes	Reinicie o TikTok para aplicar %1$d alterações
Restart TikTok to apply this change	Reinicie o TikTok para aplicar esta alteração
Restart TikTok to apply this.	Reinicie o TikTok para aplicar.
Restart pending	Reinício pendente
Put every setting back to its default straight away. Your current settings are kept for Undo.	Voltar cada configuração ao padrão agora mesmo. Suas configurações atuais ficam guardadas para Desfazer.
Restore failed. Some settings may still be changed.	A restauração falhou. Algumas configurações podem ter mudado mesmo assim.
Restore failed. Some settings may still be changed. Use Undo to put them back.	A restauração falhou. Algumas configurações podem ter mudado mesmo assim. Use Desfazer para trazê-las de volta.
Restore settings	Restaurar as configurações
Lab settings put back. Restart TikTok to apply this.	Configurações do Lab trazidas de volta. Reinicie o TikTok para aplicar.
Restoring your settings	Restaurando suas configurações
Resume videos after scrolling	Continuar os vídeos depois de rolar
Retry	Tentar novamente
Return a copy with the fields below changed	Devolver uma cópia com os campos abaixo alterados
Return after using a TikTok feature to see every gate read during the recording.	Volte depois de usar um recurso do TikTok para ver cada leitura de gate durante a gravação.
Returns %1$s	Retorna %1$s
Right column	Coluna da direita
Rows	Linhas
SIM country preset	País predefinido do SIM
STEM	STEM
Sanitize sharing links	Limpar os links ao compartilhar
Save	Salvar
Save JSON	Salvar JSON
Save SRT files with the video. Paired saves use Movies on Android 11+, Download on Android 10, and your video folder on older versions.	Salvar os arquivos SRT junto com o vídeo. Os salvamentos em par usam Movies no Android 11 ou superior, Download no Android 10, e sua pasta de vídeos em versões mais antigas.
Save a profile picture on a long press	Salvar uma foto de perfil com um toque longo
Save a story on a long press	Salvar um story com um toque longo
Save every photo in the post as TikTok received it, not as the screen shows it.	Salvar cada foto da publicação como o TikTok a recebeu, não como a tela a mostra.
Save field values	Salvar os valores dos campos
Save full report	Salvar relatório completo
Save media	Salvar a mídia
Save Hushfeed settings and Feature Gate Lab rules to a JSON file.	Salvar as configurações do Hushfeed e as regras do Laboratório de gates em um arquivo JSON.
Save subtitles beside videos	Salvar as legendas junto com os vídeos
Save the latest available TikTok crash report for diagnostic export.	Guardar o último relatório de falha do TikTok disponível para exportar com o diagnóstico.
Save the original sound	Salvar o som original
Save the sound as well	Salvar o som também
Save videos without sound	Salvar os vídeos sem som
Save, restore, reset and undo your settings	Salve, restaure, redefina e desfaça suas configurações
Saved	Salvo
Saved %1$s	Salvo: %1$s
Saved %1$s of %2$s photos before the story failed	Foram salvas %1$s de %2$s fotos antes de o story falhar
Saved %1$s original photos	%1$s fotos originais salvas
Saved one original photo	Uma foto original foi salva
Saved, override off	Salvo, substituição desligada
Saved. Restart TikTok to apply this.	Salvo. Reinicie o TikTok para aplicar.
Saving	Salvando
Saving %1$s original photos	Salvando %1$s fotos originais
Saving one original photo	Salvando uma foto original
Saving settings backup	Salvando o backup das configurações
Saving sticker	Salvando o sticker
Saving the selected video quality	Salvando a qualidade de vídeo escolhida
Saving the selected video quality without sound	Salvando a qualidade de vídeo escolhida sem som
Saving the story	Salvando o story
Saving video and subtitles to %1$s	Salvando o vídeo e as legendas em %1$s
Screen	Tela
Screen time	Tempo de tela
Search	Pesquisa
Search by name, description or category.	Busque por nome, descrição ou categoria.
Search and override gates	Buscar e substituir gates
Search countries or operators	Buscar países ou operadoras
Search hidden creators	Buscar criadores escondidos
Search settings	Buscar nas configurações
Search share actions	Buscar ações de compartilhamento
Search within comments	Pesquisar nos comentários
Search these comments	Buscar nestes comentários
Search translated titles and descriptions, then open the original setting.	Buscar entre os títulos e descrições traduzidos e depois abrir a configuração original.
Ask TikTok for search results that aren't personalized to your account. This changes results, not search buttons or suggestions.	Peça ao TikTok resultados de pesquisa que não sejam personalizados para sua conta. Isso muda os resultados, não os botões nem as sugestões de pesquisa.
Search by name or gate key	Buscar por nome ou chave do gate
Seconds. Zero keeps every length. If everything the feed just sent would be filtered out, the video closest to your limit is kept so the feed is not empty.	Segundos. Zero aceita qualquer duração. Se tudo o que o feed acabou de enviar fosse filtrado, o vídeo mais perto do seu limite fica para o feed não ficar vazio.
Seek by	Avançar
Seek from the edges	Avançar pelas bordas
Seen	Vistos
Seen this session	Visto nesta sessão
Seen videos	Vídeos vistos
Seen videos cleared. You can undo until TikTok closes.	Os vídeos vistos foram apagados. Você pode desfazer até o TikTok fechar.
Seen videos put back	Vídeos vistos trazidos de volta
Select	Selecionar
Select at least one field.	Selecione pelo menos um campo.
Select every tab	Selecionar todas as abas
Selected	Selecionado
Send links to another app	Mandar os links para outro app
Sending feedback	Enviando feedback
Series posts	Publicações de Séries
Settings	Configurações
Settings are back to their defaults. Restart TikTok to apply all changes.	As configurações voltaram para os padrões. Reinicie o TikTok para aplicar todas as mudanças.
Settings backup saved	Backup das configurações salvo
Settings couldn't open	Não foi possível abrir as configurações
Settings couldn't refresh completely. Reopen settings and try again.	Não foi possível atualizar todas as configurações. Abra as configurações novamente e tente de novo.
Settings restored. Restart TikTok to apply all changes.	Configurações restauradas. Reinicie o TikTok para aplicar todas as mudanças.
Settings restored. The Feature Gate Lab rules were for another TikTok version and were left out. Restart TikTok to apply all changes.	Configurações restauradas. As regras do Laboratório de gates eram de outra versão do TikTok e ficaram de fora. Reinicie o TikTok para aplicar todas as mudanças.
Share	Compartilhar
Hide share actions	Esconder ações de compartilhamento
Share links through another host	Compartilhar os links por outro host
Share sheet	Folha de compartilhamento
Shop	Loja
Shop posts	Publicações da loja
Show	Mostrar
Show @username beside a video instead of the display name the creator chose.	Mostrar @usuário ao lado do vídeo em vez do nome de exibição que o criador escolheu.
Show search in LIVE	Mostrar pesquisa no LIVE
Show TikTok's feed buttons	Mostrar os botões do feed do TikTok
Show TikTok's own progress bar on videos where it is normally hidden.	Mostrar a barra de progresso do TikTok nos vídeos onde ela normalmente fica escondida.
Show TikTok's own sort sheet on every post, with its hot, newest, media and creator options, instead of whichever cut-down row your account was given. Restart TikTok to apply this. It reads the style once per run and remembers it.	Mostrar a folha de ordenação do TikTok em todas as publicações, com as opções de populares, mais recentes, mídia e criador, em vez da linha reduzida que a sua conta recebeu. Reinicie o TikTok para aplicar. Ele lê o estilo uma vez por execução e guarda.
Show the search entry inside TikTok's LIVE drawer, where available. This doesn't add a search box to video comments.	Mostre a opção de pesquisa no painel LIVE do TikTok, quando disponível. Isso não adiciona uma caixa de pesquisa aos comentários de vídeos.
Show a video preview thumbnail while dragging the progress bar.	Mostrar uma miniatura do vídeo enquanto você arrasta a barra de progresso.
Show the block button on videos	Mostrar o botão de bloquear nos vídeos
Show the block sound button	Mostrar o botão de bloquear som
Show failures on screen	Mostrar falhas na tela
Show gates	Mostrar gates
Show last report	Mostrar último relatório
Show the hide button on videos	Mostrar o botão de esconder nos vídeos
Show the Not interested button	Mostrar o botão de Não tenho interesse
Show the country a video was posted from next to the creator's name.	Mostrar o país de onde o vídeo foi publicado ao lado do nome do criador.
Show the current spoken caption while the other controls are hidden.	Mostrar a legenda que está sendo falada enquanto os outros controles estão escondidos.
Show the handle instead of the name	Mostrar o nome de usuário em vez do nome
Show the progress bar	Mostrar a barra de progresso
Show the progress bar thumbnail	Mostrar a miniatura da barra de progresso
Show the whole Activity and New followers lists instead of stopping at a View all button.	Mostrar as listas completas de Atividade e Novos seguidores em vez de parar num botão de Ver tudo.
Show the whole video instead of cropping it to the window. Nothing changes on a tall phone, where it already fits. On a folding phone opened up, a squarer screen or a split view the sides or the ends stop being cut off.	Mostrar o vídeo inteiro em vez de cortá-lo para a janela. Num celular alto nada muda, porque já cabe. Num dobrável aberto, numa tela mais quadrada ou numa tela dividida, as laterais ou as pontas deixam de ser cortadas.
Show what is left of the budget	Mostrar o que resta do limite
Show when the camera or microphone is in use	Mostrar quando a câmera ou o microfone estiver em uso
Show where a video was posted	Mostrar de onde o vídeo foi publicado
Showing %1$s again	Mostrando %1$s de novo
Hide videos with blocked sounds	Esconder os vídeos com sons bloqueados
Skip content warnings	Pular os avisos de conteúdo
Hide recorded LIVE broadcasts from the feed.	Esconder do feed as transmissões LIVE gravadas.
Hide videos marked as using promotional music.	Esconder os vídeos marcados como usando música promocional.
Hide videos that use a sound blocked with the player's sound button, or named below.	Esconder os vídeos que usam um som bloqueado pelo botão de som do player, ou citado abaixo.
Skipping videos with %1$s	Pulando os vídeos com %1$s
Something is missing from %1$s. Tap for the whole report.	Falta alguma coisa em %1$s. Toque para ver o relatório inteiro.
Sound link copied	Link do som copiado
Sound saved to %1$s	Som salvo em %1$s
Source	Origem
Speed	Velocidade
Speed menu choices	Opções do menu de velocidade
Split comment minimum width	Largura mínima para os comentários ao lado
Start each new video at your default. A manual choice lasts until the video changes.	Começar cada vídeo novo na sua velocidade padrão. Uma escolha manual dura até o vídeo mudar.
Start feature gate recording	Começar a gravar os gates
Start recording	Iniciar gravação
Start the day at	Começar o dia às
Start today over	Recomeçar o dia de hoje
Sticker	Sticker
Sticker destination	Destino dos stickers
Sticker saved to %1$s	Sticker salvo em %1$s
Still here. Nothing is waiting.	Você ainda está aqui. Nada está esperando.
Still reading the record. Tap again in a moment.	O registro ainda está sendo lido. Toque de novo daqui a pouco.
Still saving the last one	O anterior ainda está sendo salvo
Stop ByteDance AppLog events, AppsFlyer attribution, explicit Firebase screen reports and crash reporting from being sent. TikTok's own diagnostics go quiet with them.	Impedir o envio dos eventos AppLog da ByteDance, da atribuição do AppsFlyer, dos relatórios explícitos de tela do Firebase e dos relatórios de falha. Os diagnósticos do próprio TikTok se calam junto.
Stop TikTok asking the screen to run at the frame rate of the video it is playing. On a 90 or 120 Hz phone that ask slows the whole app down to the video's rate, scrolling included.	Impedir que o TikTok peça à tela para rodar na taxa de quadros do vídeo que está tocando. Num celular de 90 ou 120 Hz esse pedido derruba o app inteiro para a taxa do vídeo, inclusive a rolagem.
Stop TikTok listening to the accelerometer, gyroscope, magnetometer and the other motion sensors it uses to fingerprint the phone. Saves the battery they wake.	Impede que o TikTok escute o acelerômetro, o giroscópio, o magnetômetro e os outros sensores de movimento que usa para identificar o telefone. Poupa a bateria que eles gastam.
Stop TikTok reading what you copied. Copying a link from TikTok still works.	Impede que o TikTok leia o que você copiou. Copiar um link do TikTok continua funcionando.
Stop TikTok reporting that you viewed a story or a profile, or that you are typing. Online status is unchanged. It cannot undo what the server has already recorded.	Impede que o TikTok informe que você viu um story ou um perfil, ou que está digitando. O status on-line não muda. Não dá para desfazer o que o servidor já registrou.
Stop a long press on Like from opening TikTok's repost action.	Impedir que segurar Curtir abra a ação de repostar do TikTok.
Stop a long press on Share from opening TikTok's quick share action.	Impedir que segurar Compartilhar abra a ação de compartilhamento rápido do TikTok.
Stop feature gate recording	Parar de gravar os gates
Stop the brand animation that plays over the comments when what someone typed matches an advertiser's trigger.	Parar a animação de marca que aparece sobre os comentários quando o que alguém escreveu bate com o gatilho de um anunciante.
Stop the bubble that asks you to share a video with friends after you like it.	Para a bolha que pede para compartilhar um vídeo com amigos depois de curtir.
Keep websites outside TikTok from using its connection back into the app. TikTok pages such as Activity center, Watch history, shop checkout and CAPTCHA keep working.	Impeça sites de fora do TikTok de usar a conexão dele com o app. As páginas do TikTok, como a Central de atividades, o Histórico de exibição, o checkout da loja e o CAPTCHA, continuam funcionando.
Stop video looping	Parar a repetição dos vídeos
Stop videos at the end instead of replaying them.	Parar os vídeos no fim em vez de tocá-los de novo.
Stopped after dismissing %1$s suggested accounts	Parou após dispensar %1$s contas sugeridas
Stopped after dismissing one suggested account	Parou após dispensar uma conta sugerida
Stories	Stories
Story saved to %1$s	Story salvo em %1$s
Structured value observed	Valor estruturado observado
Subtitle language	Idioma das legendas
Subtitles	Legendas
System	Sistema
Feed tabs to keep	Abas do feed para manter
Hide the streak button in a chat and the reminder message that goes with it.	Esconder o botão de sequência de um chat e a mensagem de lembrete que vem com ele.
Tap %1$s again to send	Toque em %1$s de novo para enviar
Tap a comment's heart twice within %1$d seconds. A double tap on the comment needs a second one too. Removing a like stays immediate.	Toque no coração de um comentário duas vezes dentro de %1$d segundos. Um toque duplo no comentário também precisa de um segundo. Tirar uma curtida continua sendo imediato.
Tap a story's heart twice within %1$d seconds. Removing a like stays immediate.	Toque no coração de um story duas vezes dentro de %1$d segundos. Tirar uma curtida continua sendo imediato.
Tap Repost on the bar under a video twice within %1$d seconds. A repost with a note is left alone.	Toque em Repostar na barra abaixo de um vídeo duas vezes dentro de %1$d segundos. Um repost com nota fica como está.
Tap again to follow	Toque de novo para seguir
Tap again to like	Toque de novo para curtir
Tap again to repost	Toque de novo para repostar
Tap again to send	Toque de novo para enviar
Tap the feed Follow button twice within %1$d seconds.	Toque no botão Seguir do feed duas vezes dentro de %1$d segundos.
Tap the like heart twice within %1$d seconds. Removing a like stays immediate.	Toque no coração de curtir duas vezes dentro de %1$d segundos. Tirar uma curtida continua sendo imediato.
Tap to start the feed	Toque para iniciar o feed
Technical details	Detalhes técnicos
Technical details, %1$s	Detalhes técnicos, %1$s
That backup was written by a newer Hushfeed than this one. Nothing was altered.	Esse backup foi escrito por um Hushfeed mais novo que este. Nada foi alterado.
That creator is already in the list	Esse criador já está na lista
That creator pattern is too long to use, so it was skipped: %1$s	Esse padrão de criador é longo demais, então foi ignorado: %1$s
That creator pattern is too long, so it was not added: %1$s	Esse padrão de criador é longo demais, então não foi adicionado: %1$s
That file is not a loaded-values export, or it is larger than the Lab accepts	Esse arquivo não é uma exportação de valores carregados, ou é maior do que o Lab aceita
That file is not readable text, so it may have been damaged in transit. Nothing was altered.	Esse arquivo não é texto legível, então pode ter se danificado no caminho. Nada foi alterado.
That file is too large to be a settings backup. Nothing was altered.	Esse arquivo é grande demais para ser um backup de configurações. Nada foi alterado.
That folder name has a character Android does not allow. Use letters, numbers, spaces or dashes.	O destino tem um nome de pasta inválido.
That is %1$d minutes today	Isso dá %1$d minutos hoje
That is %1$d videos today	Isso dá %1$d vídeos hoje
That is not a Hushfeed settings backup. Nothing was altered.	Isso não é um backup de configurações do Hushfeed. Nada foi alterado.
That is not an app name. Try something like com.example.downloader, or leave the box empty to keep saving in TikTok.	Isso não é um nome de app. Tente algo como com.example.downloader, ou deixe o campo vazio para continuar salvando no TikTok.
That is one minute today	Isso dá um minuto hoje
That is one video today	Isso dá um vídeo hoje
That list has too many entries. Keep it to %1$s or fewer.	Essa lista tem entradas demais. Limite-a a %1$s ou menos.
That list is too large. Keep it to %1$s KB or less.	Essa lista é grande demais. Limite-a a %1$s KB ou menos.
That preset is not recognized. Choose another.	Predefinição de SIM inválida.
That settings backup contains a feed rule list larger than Hushfeed accepts. Nothing was altered.	Esse backup de configurações contém uma lista de regras do feed maior do que o Hushfeed aceita. Nada foi alterado.
That settings backup holds a value Hushfeed cannot read. Nothing was altered.	Esse backup tem um valor que o Hushfeed não consegue ler. Nada foi alterado.
That settings backup holds more Feature Gate Lab rules than the Lab takes. Nothing was altered.	Esse backup de configurações tem mais regras do Feature Gate Lab do que o Lab aceita. Nada foi alterado.
That settings backup is damaged or only partly downloaded. Nothing was altered.	Esse backup está danificado ou só foi baixado em parte. Nada foi alterado.
That settings backup is incomplete, so it may have been cut short. Nothing was altered.	Esse backup está incompleto, então pode ter sido cortado. Nada foi alterado.
That settings change did not go through. Nothing was altered.	Essa mudança de configuração não chegou a valer. Nada foi alterado.
That sticker is in a format Hushfeed cannot read	Esse sticker está num formato que o Hushfeed não consegue ler
The Lab can't check this. TikTok gets it exactly as typed.	O Lab não consegue verificar isso. O TikTok recebe exatamente como você digitou.
The Lab couldn't open. Go back and open it again.	O Lab não abriu. Volte e abra de novo.
The Lab keeps at most %1$s rules. This change would make %2$s, so nothing was changed.	O Lab mantém no máximo %1$s regras. Esta alteração resultaria em %2$s, então nada foi alterado.
The catalog says this key is %1$s and this override is %2$s. Reset the override and make a new one.	O catálogo diz que esta chave é %1$s e esta substituição é %2$s. Redefina a substituição e crie uma nova.
The diagnostic report couldn't be saved yet. Try again in a moment.	O relatório de diagnóstico ainda não pôde ser salvo. Tente de novo em instantes.
The diagnostic report couldn't be saved. Try again.	Não foi possível salvar o relatório de diagnóstico. Tente de novo.
The downloader app you chose isn't installed. Check Send links to another app under Downloads.	O aplicativo de download que voce escolheu nao esta instalado. Verifique Enviar links para outro aplicativo em Downloads.
The export failed and the partial file couldn't be removed. Delete it from your Downloads folder.	A exportação falhou e o arquivo incompleto não pôde ser removido. Apague-o da sua pasta Downloads.
The feed dims over the last three quarters of a minute before the hold, so you arrive at it rather than land on it. Needs a time budget and a hold to arrive at.	O feed escurece nos últimos três quartos de minuto antes da pausa, para que você chegue a ela em vez de cair nela. Precisa de um orçamento de tempo e uma pausa.
The feed does not end. This is a fine time to leave it.	O feed não acaba. Esta é uma boa hora para largá-lo.
The feed is open again	O feed está aberto de novo
The feed waits for one tap before it starts playing again when you come back to the app. Messages, profiles and search are still one tap away.	O feed espera um toque antes de reproduzir de novo quando você volta ao app. Mensagens, perfis e busca continuam a um toque.
The hour both budgets reset, on a 24 hour clock. Four in the morning by default, because someone still scrolling at one is having last night.	A hora em que os dois limites zeram, no relógio de 24 horas. Quatro da manhã por padrão, porque quem ainda está rolando à uma continua na noite anterior.
Last change put back. Restart TikTok to apply all changes.	Última mudança trazida de volta. Reinicie o TikTok para aplicar todas as mudanças.
Last change put back. The Feature Gate Lab rules were for another TikTok version and were left out. Restart TikTok to apply all changes.	Última mudança trazida de volta. As regras do Laboratório de gates eram de outra versão do TikTok e ficaram de fora. Reinicie o TikTok para aplicar todas as mudanças.
Show only videos with this many comments.	Mostrar só vídeos com essa quantidade de comentários.
Show only videos with this many favorites.	Mostrar só vídeos com essa quantidade de favoritos.
Show only videos with this many likes.	Mostrar só vídeos com essa quantidade de curtidas.
Show only videos with this many shares.	Mostrar só vídeos com essa quantidade de compartilhamentos.
Show only videos with this many views.	Mostrar só vídeos com essa quantidade de visualizações.
The original photos aren't available, so TikTok's own save runs instead	As fotos originais não estão disponíveis, então o salvamento do próprio TikTok é usado
The override changes no fields. Edit the field values, or reset the override.	A substituição não altera nenhum campo. Edite os valores dos campos ou redefina a substituição.
The override couldn't be applied: %1$s. Edit the field values, or reset the override.	Não foi possível aplicar a substituição: %1$s. Edite os valores dos campos ou redefina a substituição.
The override doesn't say what list to return. Edit the field values, or reset the override.	A substituição não diz qual lista devolver. Edite os valores dos campos ou redefina a substituição.
The profile picture couldn't be saved. Try again.	Não foi possível salvar a foto de perfil.
The record of an interrupted settings change couldn't be read, so it was set aside. Check your settings.	O registro de uma alteração de configurações interrompida não pôde ser lido, então foi posto de lado. Confira suas configurações.
The report couldn't be saved. Try again.	Não foi possível salvar o relatório. Tente de novo.
The loaded-values file you chose couldn't be read. Try again.	Não foi possível ler o arquivo de valores carregados que você escolheu. Tente de novo.
The setting couldn't finish updating. Its saved value is shown.	Não foi possível concluir a atualização da configuração. O valor salvo está sendo exibido.
The settings backup was rejected. Nothing was altered.	O backup das configurações foi recusado. Nada foi alterado.
The smallest value is above the largest	O valor mínimo está acima do máximo
The sound couldn't be saved. Try again.	Não foi possível salvar o som. Tente de novo.
The sticker couldn't be saved. Try again.	Não foi possível salvar o sticker. Tente de novo.
The story couldn't be saved. Try again.	Não foi possível salvar o story.
The thumbs down on each comment blocks the commenter instead of disliking. The comment dims, an undo banner follows, and a second tap unblocks.	O polegar para baixo em cada comentário bloqueia o comentarista em vez de dar Não gostei. O comentário escurece, um banner de desfazer segue, e um segundo toque desbloqueia.
The video couldn't be saved. Try again, or choose Automatic.	Não foi possível salvar o vídeo. Tente de novo, ou escolha Automático.
There is no Lab change to undo.	Não há nenhuma alteração do Lab para desfazer.
There is no diagnostic data to clear	Não há dados de diagnóstico para apagar
There is no diagnostic data to put back	Não há dados de diagnóstico para restaurar
There was nothing to put back	Não havia nada para trazer de volta
These loaded values are for a different TikTok version.	Estes valores carregados são de outra versão do TikTok.
This catalog entry is no longer available. Refresh the Lab and try again.	Esta entrada do catálogo não está mais disponível. Atualize o Laboratório e tente de novo.
This change couldn't be saved. Try again.	Não foi possível salvar esta alteração. Tente novamente.
This configuration has no fields that can be copied and changed safely on this build.	Esta configuração não tem campos que dê para copiar e mudar com segurança nesta build.
This file has more loaded values than the Lab takes at once.	Este arquivo tem mais valores carregados do que o Lab aceita de uma vez.
This file has no loaded values in it.	Este arquivo não contém valores carregados.
This file isn't a loaded-values export from the Feature Gate Lab.	Este arquivo não é uma exportação de valores carregados do Feature Gate Lab.
This gate type is not supported.	Este tipo de gate não é compatível.
This key isn't in the local catalog, so its type can't be checked. Reset the override.	Esta chave não está no catálogo local, então o tipo dela não pode ser conferido. Redefina a substituição.
This line opens a rule and does not finish it: %1$s. Write two phrases as "a" & "b" for both, or "a" !& "b" for the first without the second.	Esta linha abre uma regra e não a fecha: %1$s. Escreva duas frases como "a" & "b" para pedir as duas, ou "a" !& "b" para a primeira sem a segunda.
This phone has no file picker, so there is no way to choose a file here	Este celular não tem seletor de arquivos, então não dá para escolher um aqui
This phone has no folder picker. Type the folder into the row instead.	Este celular não tem seletor de pastas. Digite a pasta na linha.
This profile picture isn't available to save	Esta foto de perfil não está disponível para salvar
