%1$d minutes left	Restam %1$d minutos
%1$d setting was not in that file and was left as it is.	%1$d configuração não estava nesse arquivo e ficou como estava.
%1$d settings were not in that file and were left as they are.	%1$d configurações não estavam nesse arquivo e ficaram como estavam.
%1$s and above	%1$s ou superior
%1$s destinations must start with %2$s	Os destinos de %1$s precisam começar com %2$s
%1$s isn't installed or doesn't take links	%1$s não está instalado ou não aceita links
%1$s left	Resta %1$s
%1$s on	%1$s ativados
%1$s to %2$s	De %1$s a %2$s
Video saved in %1$s, but only %2$s of %3$s subtitles came with it	Vídeo salvo em %1$s, mas só vieram %2$s de %3$s legendas
Video saved with %1$s subtitles in %2$s	Vídeo salvo com %1$s legendas em %2$s
Wait before hiding the controls.	Esperar antes de limpar a tela.
WebP, exactly as TikTok sent it	WebP, exatamente como o TikTok mandou
Window width needed to enable the layout. Restart TikTok to apply this.	Largura de janela necessária para ligar o layout. Reinicie o TikTok para aplicar.
Write the video's sound beside it as an .m4a. Android 10 and later file audio separately, so it lands in Music under the same folder name as your videos.	Escrever o som do vídeo ao lado dele como um .m4a. O Android 10 e posteriores arquivam o áudio à parte, então ele vai para Music, numa pasta com o mesmo nome da dos seus vídeos.
YOUR EXPERIENCE	SUA EXPERIÊNCIA
YTDLnis background mode	Modo em segundo plano do YTDLnis
YTDLnis download type	Tipo de download do YTDLnis
Your operator's name, like T-Mobile.	O nome da sua operadora, como T-Mobile.
Your operator's numeric code, like 310260.	O código numérico da sua operadora, como 310260.
Zero means no limit. Counts the videos Hushfeed advanced past for you, not the ones you swiped yourself, and starts again when the feed is rebuilt or you change this number.	Zero quer dizer sem limite. Conta os vídeos que o Hushfeed passou por você, não os que você deslizou, e começa de novo quando o feed é reconstruído ou você muda este número.
code %1$s	código %1$s
day	dia
days	dias
millisecond	milissegundo
milliseconds	milissegundos
ms	ms
or	ou
point	ponto
points	pontos
second	segundo
seconds	segundos
videos	vídeos
view per like	visualização por curtida
views per like	visualizações por curtida
Current state	Estado atual
Loaded for this account	Carregado para esta conta
Yes	Sim
No	Não
TikTok cached value	Valor em cache do TikTok
Structured value observed	Valor estruturado observado
Not requested in this process yet	Ainda não foi pedido neste processo
Not present in the current cache	Não está no cache atual
Effective getter result	Resultado efetivo do getter
Override	Substituição
Override this configuration	Substituir esta configuração
Return a copied object with the selected fields changed	Devolver um objeto copiado com os campos selecionados alterados
Forced result	Resultado forçado
Off forces false; on forces true. Reset returns control to TikTok	Desligado força false e ligado força true. Redefinir devolve o controle ao TikTok
Override this gate	Substituir este gate
When TikTok requests this key, return the selected value below	Quando o TikTok pedir esta chave, devolver o valor escolhido abaixo
Manager	Gerenciador
Type	Tipo
Source	Origem
Generated defaults	Padrões gerados
Historical values	Valores históricos
Researched values	Valores pesquisados
Proof	Comprovação
Last original value	Último valor original
First caller	Primeira chamada
Reset	Redefinir
Disable	Desligar
Enable	Ligar
More options	Mais opções
Refresh values	Atualizar os valores
Export loaded values	Exportar os valores carregados
Import loaded values	Importar os valores carregados
Reset all overrides	Redefinir todas as substituições
Reset all Lab data	Redefinir todos os dados do Lab
Undo last Lab change	Desfazer a última mudança do Lab
All	Todos
Boolean	Booleano
Enabled	Ligados
Disabled	Desligados
Unloaded	Não carregados
Reset 1 gate. Restart TikTok to apply this.	1 gate redefinido. Reinicie o TikTok para aplicar.
Reset %1$d gates. Restart TikTok to apply this.	%1$d gates redefinidos. Reinicie o TikTok para aplicar.
Reset 1 gate of %1$d. Restart TikTok to apply this.	1 de %1$d gates redefinido. Reinicie o TikTok para aplicar.
Reset %1$d gates of %2$d. Restart TikTok to apply this.	%1$d de %2$d gates redefinidos. Reinicie o TikTok para aplicar.
Forced 1 gate. Restart TikTok to apply this.	1 gate forçado. Reinicie o TikTok para aplicar.
Forced %1$d gates. Restart TikTok to apply this.	%1$d gates forçados. Reinicie o TikTok para aplicar.
Forced 1 gate of %1$d; the rest do not take a true or false value. Restart TikTok to apply this.	1 de %1$d gates forçado; os demais não aceitam um valor true ou false. Reinicie o TikTok para aplicar.
Forced %1$d gates of %2$d; the rest do not take a true or false value. Restart TikTok to apply this.	%1$d de %2$d gates forçados; os demais não aceitam um valor true ou false. Reinicie o TikTok para aplicar.
Turned off 1 gate. Restart TikTok to apply this.	1 gate desligado. Reinicie o TikTok para aplicar.
Turned off %1$d gates. Restart TikTok to apply this.	%1$d gates desligados. Reinicie o TikTok para aplicar.
Turned off 1 gate of %1$d; the rest do not take a true or false value. Restart TikTok to apply this.	1 de %1$d gates desligado; os demais não aceitam um valor true ou false. Reinicie o TikTok para aplicar.
Turned off %1$d gates of %2$d; the rest do not take a true or false value. Restart TikTok to apply this.	%1$d de %2$d gates desligados; os demais não aceitam um valor true ou false. Reinicie o TikTok para aplicar.
Feature gate override reset	Substituição do gate redefinida
Invalid field value: %1$s	Valor de campo inválido: %1$s
Could not save this override.	Não foi possível salvar esta substituição.
Could not reset this override.	Não foi possível redefinir esta substituição.
Feature Gate Lab could not find the settings container	O Feature Gate Lab não encontrou o contêiner das configurações
Older overrides were kept disabled. Review their values before enabling them on TikTok %1$s.	As substituições antigas ficaram desligadas. Confira os valores antes de ligá-las no TikTok %1$s.
A Lab change is already running	Já há uma mudança do Lab em andamento
Could not open the export file picker	Não foi possível abrir o seletor de arquivos para exportar
Could not open the import file picker	Não foi possível abrir o seletor de arquivos para importar
Exported 1 loaded value	1 valor carregado exportado
Exported %1$d loaded values	%1$d valores carregados exportados
Loaded-value file export failed	A exportação do arquivo de valores carregados falhou
Loaded-value file export failed; cleanup also failed	A exportação do arquivo de valores carregados falhou e a limpeza também
Loaded-value file is invalid or too large	O arquivo de valores carregados é inválido ou grande demais
This file isn't a loaded-values export from the Feature Gate Lab.	Este arquivo não é uma exportação de valores carregados do Feature Gate Lab.
These loaded values are for a different TikTok version.	Estes valores carregados são de outra versão do TikTok.
This file has no loaded values in it.	Este arquivo não contém valores carregados.
This file has more loaded values than the Lab takes at once.	Este arquivo tem mais valores carregados do que o Lab aceita de uma vez.
Imported %1$d disabled values. %2$d already matched, %3$d unavailable, %4$d rejected. Undo last Lab change is in the menu.	%1$d valores desligados importados. %2$d já coincidiam, %3$d não estão disponíveis e %4$d foram recusados. Desfazer a última mudança do Lab está no menu.
Could not change Lab settings.	Não foi possível alterar as configurações do Lab.
None of these gates had an override to reset.	Nenhum destes gates tinha uma substituição para redefinir.
None of these gates takes a true or false value.	Nenhum destes gates aceita um valor true ou false.
Restart TikTok to apply the Feature Gate Lab changes.	Reinicie o TikTok para aplicar as mudanças do Feature Gate Lab.
Overrides enabled. Restart TikTok to apply saved values.	Substituições ativadas. Reinicie o TikTok para aplicar os valores salvos.
Overrides disabled. Restart TikTok to restore native values.	Substituições desativadas. Reinicie o TikTok para voltar aos valores nativos.
Lab overrides reset. Undo last Lab change is in the menu. Restart TikTok.	Substituições do Lab redefinidas. Desfazer a última alteração do Lab está no menu. Reinicie o TikTok.
Lab data reset. Undo last Lab change is in the menu. Restart TikTok.	Dados do Lab redefinidos. Desfazer a última alteração do Lab está no menu. Reinicie o TikTok.
Restored the previous Lab settings. Restart TikTok.	As configurações anteriores do Lab foram restauradas. Reinicie o TikTok.
Nothing new was imported. %1$d already matched, %2$d unavailable, %3$d rejected.	Nada de novo foi importado. %1$d já coincidiam, %2$d não estão disponíveis, %3$d foram rejeitados.
There is no Lab change to undo.	Não há nenhuma alteração do Lab para desfazer.
The record of an interrupted settings change could not be read, so it was set aside. Check your settings.	O registro de uma alteração de configurações interrompida não pôde ser lido, então foi posto de lado. Confira suas configurações.
An interrupted settings change could not be recovered, so its record was set aside. Check your settings or restore a backup.	Uma alteração de configurações interrompida não pôde ser recuperada, então seu registro foi posto de lado. Confira suas configurações ou restaure um backup.
A newer clear replaced that undo. Tap the row again to put it back.	Uma limpeza mais recente substituiu esse desfazer. Toque na linha de novo para trazer de volta.
That creator pattern is too long, so it was not added: %1$s	Esse padrão de criador é longo demais, então não foi adicionado: %1$s
Use the preset for the region TikTok reports for your account and its shop too. May affect search. Needs Override SIM details, Match locale and timezone to country, and a restart.	Usar a predefinição também para a região que o TikTok informa para a sua conta e a loja dela. Pode afetar a busca. Precisa de Substituir os dados do chip, Ajustar idioma e fuso horário ao país, e de um reinício.
Saved one original photo	Uma foto original foi salva
Length and views per like	Duração e visualizações por curtida
Stop a long press on Share from opening TikTok's quick share action.	Impedir que segurar Compartilhar abra a ação de compartilhamento rápido do TikTok.
Stop a long press on Like from opening TikTok's repost action.	Impedir que segurar Curtir abra a ação de repostar do TikTok.
dp	dp
Select every tab	Selecionar todas as abas
Tabs TikTok has loaded	Abas que o TikTok carregou
That creator pattern is too long to use, so it was skipped: %1$s	Esse padrão de criador é longo demais, então foi ignorado: %1$s
Nothing to undo yet.	Ainda não há nada para desfazer.
No matching diagnostics found.	Nenhum diagnóstico correspondente foi encontrado.
Diagnostic report copied to the clipboard.	Relatório de diagnóstico copiado para a área de transferência.
The diagnostic report could not be exported.	O relatório de diagnóstico não pôde ser exportado.
The diagnostic report could not be saved yet. Try again in a moment.	O relatório de diagnóstico ainda não pôde ser salvo. Tente de novo em instantes.
A diagnostic report is already being saved.	Um relatório de diagnóstico já está sendo salvo.
Full report saved to %1$s	Relatório completo salvo em %1$s
Could not start the report export. Try again shortly.	Não foi possível iniciar a exportação do relatório. Tente de novo em breve.
Copy quick report	Copiar relatório rápido
Save full report	Salvar relatório completo
