%1$d already matched	%1$d tanesi zaten eşleşiyor
%1$d areas were checked and everything they need is here.	%1$d alan kontrol edildi ve ihtiyaç duydukları her şey burada.
%1$d fields overridden	%1$d alan geçersiz kılındı
%1$d fields will be overridden when requested	İstendiğinde %1$d alan geçersiz kılınacak
%1$d gates selected	%1$d özellik kapısı seçildi
%1$d minutes left	%1$d dakika kaldı
%1$d rejected	%1$d reddedildi
%1$d results	%1$d sonuç
%1$d results so far	Şimdiye kadar %1$d sonuç
%1$d results so far, and more not counted	Şimdiye kadar %1$d sonuç, sayılmayan başkaları da var
%1$d results, filtered to %2$s	%1$d sonuç, filtre: %2$s
%1$d setting was not in that file and was left as it is	%1$d ayar o dosyada yoktu ve olduğu gibi bırakıldı
%1$d settings were not in that file and were left as they are	%1$d ayar o dosyada yoktu ve oldukları gibi bırakıldı
%1$d unavailable	%1$d kullanılamıyor
%1$s (%2$s)	%1$s (%2$s)
%1$s (TikTok value)	%1$s (TikTok değeri)
%1$s (custom, unverified)	%1$s (özel, doğrulanmamış)
%1$s (override returned)	%1$s (geçersiz kılma döndürüldü)
%1$s (will be returned when requested)	%1$s (istendiğinde döndürülecek)
%1$s / current cache only	%1$s / yalnızca mevcut önbellek
%1$s / generated registry	%1$s / oluşturulmuş kayıt defteri
%1$s / generated registry and current cache	%1$s / oluşturulmuş kayıt defteri ve mevcut önbellek
%1$s / local catalog	%1$s / yerel katalog
%1$s and above	%1$s ve üzeri
%1$s appears more than once in this file.	%1$s bu dosyada birden fazla kez geçiyor.
%1$s changed	%1$s değişti
%1$s destinations must start with %2$s	%1$s hedefleri %2$s ile başlamalı
%1$s has an invalid value. %2$s	%1$s değeri geçersiz. %2$s
%1$s is a kind of value the Lab cannot override.	%1$s, Lab'in geçersiz kılamayacağı bir değer türü.
%1$s has type %2$s, but the file says %3$s.	%1$s türü %2$s, ama dosyada %3$s yazıyor.
%1$s is already hidden	%1$s zaten gizli
%1$s is not a country code, so no video would ever match it. Use two letters, like GB, IE or US.	%1$s bir ülke kodu değil, bu yüzden hiçbir video onunla eşleşmez. GB, IE veya US gibi iki harf kullan.
%1$s is not in this Lab catalog.	%1$s bu Lab kataloğunda yok.
%1$s isn't installed or doesn't take links	%1$s yüklü değil veya bağlantı kabul etmiyor
%1$s left	%1$s kaldı
%1$s min left	%1$s dk kaldı
%1$s to %2$s	%1$s ile %2$s arası
%1$s videos left	%1$s video kaldı
%1$s was rejected. %2$s	%1$s reddedildi. %2$s
%1$s, %2$s, %3$s, %4$s, %5$s	%1$s, %2$s, %3$s, %4$s, %5$s
%1$s, selected	%1$s, seçili
%1$s. %2$s	%1$s. %2$s
%1$s: %2$d found, %3$d missing	%1$s: %2$d bulundu, %3$d eksik
%1$s: %2$d found, %3$d missing, and more it stopped counting	%1$s: %2$d bulundu, %3$d eksik, daha fazlası da var ama saymayı bıraktı
%1$s: %2$d found, %3$d missing, and more it stopped counting. First missing: %4$s	%1$s: %2$d bulundu, %3$d eksik, daha fazlası da var ama saymayı bıraktı. İlk eksik: %4$s
%1$s: %2$d found, %3$d missing. First missing: %4$s	%1$s: %2$d bulundu, %3$d eksik. İlk eksik: %4$s
%1$s: %2$s	%1$s: %2$s
1 field overridden	1 alan geçersiz kılındı
A long press on Share plays the video at the hold speed instead of opening the quick share row. It needs Long press on TikTok default and Seek from the edges off.	Paylaş'a uzun basmak hızlı paylaşım satırını açmak yerine videoyu basılı tutma hızında oynatır. Uzun basma TikTok varsayılanında ve Kenarlardan sar kapalı olmalıdır.
Hold speed on Favorites	Favoriler'de basılı tutma hızı
A long press on Favorites plays the video at the hold speed instead of offering a new collection. It needs Long press on TikTok default and Seek from the edges off.	Favoriler'e uzun basmak yeni bir koleksiyon önermek yerine videoyu basılı tutma hızında oynatır. Uzun basma TikTok varsayılanında ve Kenarlardan sar kapalı olmalıdır.
Lowest	En düşük
Make TikTok yours.	TikTok'u kendine göre ayarla.
Manager	Manager
Marked as not interested	İlgilenmiyorum olarak işaretlendi
Match locale and timezone to country	Yerel ayarı ve saat dilimini ülkeyle eşleştir
Maximum	Maksimum
Maximum post age	Maksimum gönderi yaşı
Maximum video length	Maksimum video süresi
Maximum views per comment	Yorum başına maksimum görüntülenme
Maximum views per like	Beğeni başına maksimum görüntülenme
Media	Medya
Media config (VE)	Medya yapılandırması (VE)
Messages, profiles and search still work.	Mesajlar, profiller ve arama çalışmaya devam eder.
Microphone in use	Mikrofon kullanımda
Comments range	Yorum aralığı
Favorites range	Favori aralığı
Likes range	Beğeni aralığı
Shares range	Paylaşım aralığı
TikTok's own daily screen-time reminder sends the app to the background instead of waiting to be dismissed. Coming straight back leaves the reminder on screen, so the limit stays reachable. Needs a daily limit set under TikTok's Settings and privacy, under Time and well-being.	TikTok'un kendi günlük ekran süresi hatırlatması, kapatılmayı beklemek yerine uygulamayı arka plana gönderir. Hemen geri dönersen hatırlatma ekranda kalır, böylece limit ulaşılabilir kalır. TikTok'un Ayarlar ve gizlilik bölümünde, Süre ve esenlik altında günlük bir limit ister.
Views range	Görüntülenme aralığı
Minimum	Minimum
More options	Diğer seçenekler
Move down	Aşağı taşı
Move left	Sola taşı
Move right	Sağa taşı
Move to the next video when the current one ends. Pauses, open dialogs and screen-time holds stop it. Restart TikTok after changing this.	Geçerli video bitince sonraki videoya geç. Duraklatmalar, açık iletişim kutuları ve ekran süresi bekletmeleri bunu durdurur. Bunu değiştirdikten sonra TikTok'u yeniden başlat.
Move up	Yukarı taşı
Music disc	Müzik diski
Pauses the video behind the comment sheet while you read. It plays on from the same spot when the sheet closes.	Sen okurken yorum panelinin arkasındaki videoyu duraklatır. Panel kapanınca video kaldığı yerden devam eder.
Nearby	Yakındakiler
Never from these countries	Bu ülkelerden asla
No	Hayır
No creator to block on this video	Bu videoda engellenecek içerik üreticisi yok
No creator to hide on this video	Bu videoda gizlenecek içerik üreticisi yok
No creators are hidden yet. Hide one from a video, or add a handle above.	Henüz gizlenen içerik üreticisi yok. Bir videodan birini gizle veya yukarıya bir kullanıcı adı ekle.
No current value	Geçerli değer yok
No current value and no active override	Geçerli değer yok, etkin geçersiz kılma da yok
No delay	Gecikme yok
No gate data is available. Refresh values from the menu to try again.	Özellik kapısı verisi yok. Yeniden denemek için menüden değerleri yenile.
No gate reads were recorded. Use a TikTok feature while recording.	Hiç özellik kapısı okuması kaydedilmedi. Kayıt sırasında bir TikTok özelliği kullan.
No gates match this filter.	Bu filtreyle eşleşen özellik kapısı yok.
No gates match this search and filter.	Bu arama ve filtreyle eşleşen özellik kapısı yok.
No hidden creators match this search. Clear the search to see them all.	Bu aramayla eşleşen gizlenmiş içerik üreticisi yok. Hepsini görmek için aramayı temizle.
No limit	Sınır yok
No matching comments. Try a different word, or clear the search with the X in the box.	Eşleşen yorum yok. Başka bir kelime dene veya kutudaki X ile aramayı temizle.
No matching countries. Try a country name or a two-letter code.	Eşleşen ülke yok. Bir ülke adı veya iki harfli bir kod dene.
No matching diagnostics found	Eşleşen tanılama bulunamadı
No matching settings	Eşleşen ayar yok
No preset selected. Choose a preset above.	Hazır ayar seçilmedi. Yukarıdan bir hazır ayar seç.
No recording yet. Start one, use a feature, then return here.	Henüz kayıt yok. Bir kayıt başlat, bir özellik kullan, sonra buraya dön.
No seen videos recorded yet.	Henüz görülen video kaydedilmedi.
No share actions have been seen yet	Henüz hiçbir paylaşım eylemi görülmedi
No share actions match this search	Bu aramayla eşleşen paylaşım eylemi yok
No sound to block on this video	Bu videoda engellenecek ses yok
No suggested accounts to clear	Temizlenecek önerilen hesap yok
No video selected. Open a video first.	Video seçilmedi. Önce bir video aç.
None of these gates had an override to reset.	Bu özellik kapılarının hiçbirinde sıfırlanacak bir geçersiz kılma yoktu.
None of these gates takes a true or false value.	Bu özellik kapılarının hiçbiri true veya false değeri almıyor.
None recorded	Kayıt yok
Normal	Normal
Not blocked	Engellenmedi
Not interested in this video	Bu videoyla ilgilenmiyorum
Not read yet	Henüz okunmadı
Not requested in this process yet	Bu süreçte henüz istenmedi
Not saved yet	Henüz kaydedilmedi
Not seen	Görülmedi
Not seen yet	Henüz görülmedi
Nothing has been checked yet, so there is nothing to report.	Henüz hiçbir şey denetlenmedi, bu yüzden bildirilecek bir şey yok.
Nothing has been looked up yet. Use the app for a moment, then come back.	Henüz hiçbir şey sorgulanmadı. Uygulamayı biraz kullan, sonra geri gel.
Nothing hidden.	Gizlenen bir şey yok.
Nothing is playing to seek	Sarılacak bir şey oynatılmıyor
Nothing new was imported. %1$d already matched, %2$d unavailable, %3$d rejected.	Yeni bir şey içe aktarılmadı. %1$d zaten eşleşiyordu, %2$d kullanılamıyor, %3$d reddedildi.
Nothing new was imported. %1$d already matched, %2$d unavailable, %3$d rejected. First rejection: %4$s	Yeni bir şey içe aktarılmadı. %1$d zaten eşleşiyordu, %2$d kullanılamıyor, %3$d reddedildi. İlk ret: %4$s
Nothing on this page changes what TikTok does until they are on.	Bunlar açılana kadar bu sayfadaki hiçbir şey TikTok'un davranışını değiştirmez.
Nothing to undo yet.	Henüz geri alınacak bir şey yok.
Notices from this project and the ones it is built on	Bu projenin ve temel aldığı projelerin bildirimleri
OK	Tamam
Off	Kapalı
Off forces false, on forces true. Reset hands the choice back to TikTok.	Kapalı false, açık true değerini zorlar. Sıfırla, seçimi TikTok'a geri verir.
Offline videos	Çevrimdışı videolar
Offline videos limit	Çevrimdışı video sınırı
Older overrides were kept disabled. Review their values before enabling them on TikTok %1$s.	Eski geçersiz kılmalar devre dışı tutuldu. TikTok %1$s sürümünde etkinleştirmeden önce değerlerini gözden geçir.
On	Açık
On mobile data	Mobil veride
On. Restore puts back the feed setup you had before.	Açık. Geri yükle, daha önceki akış düzenini geri getirir.
Once today's budget runs out, the hold stays and cannot be dismissed. The budget settings are locked until the day starts over. Turn this off any time before the budget runs out.	Bugünün bütçesi bitince bekletme ekranı kalır ve kapatılamaz. Bütçe ayarları gün yeniden başlayana kadar kilitlenir. Bütçe bitmeden önce bunu istediğin zaman kapatabilirsin.
One area was checked and everything it needs is here.	Bir alan denetlendi ve ihtiyaç duyduğu her şey burada.
One minute left	Bir dakika kaldı
One of the quote marks in that list has nothing to close it, so the rest of the line reads as one phrase. Add the missing quote or take the stray one out.	Bu listedeki tırnak işaretlerinden birinin kapanışı yok, bu yüzden satırın geri kalanı tek bir ifade olarak okunuyor. Eksik tırnağı ekle veya fazla olanı çıkar.
One value per line	Her satıra bir değer
Only bottom tabs TikTok has loaded on this device are shown here. This does not force unavailable tabs to appear.	Burada yalnızca TikTok'un bu cihazda yüklediği alt sekmeler gösterilir. Bu, kullanılamayan sekmeleri görünmeye zorlamaz.
Turn this on while you record logs for a bug report, then turn it off again. While it is on, TikTok can feel slower and may crash.	Bunu bir sorunu bildirmek için günlük kaydederken aç, sonra yeniden kapat. Açıkken TikTok yavaşlayabilir ve çökebilir.
Only fields the Lab can check and copy safely are shown.	Yalnızca Lab'in denetleyip güvenle kopyalayabildiği alanlar gösterilir.
Only from these countries	Yalnızca bu ülkelerden
Only tabs TikTok has loaded on this device are shown here. This does not force unavailable tabs to appear.	Burada yalnızca TikTok'un bu cihazda yüklediği sekmeler gösterilir. Bu, kullanılamayan sekmeleri görünmeye zorlamaz.
Open a share sheet once, then return here to choose its actions.	Bir paylaşım menüsünü bir kez aç, sonra eylemlerini seçmek için buraya dön.
Open comments	Yorumları aç
Open external links directly	Harici bağlantıları doğrudan aç
Open messages	Mesajları aç
Open profile and story website links in your system browser instead of TikTok's in-app browser.	Profil ve hikayelerdeki web sitesi bağlantılarını TikTok'un uygulama içi tarayıcısı yerine sistem tarayıcında aç.
Open the feed anyway	Akışı yine de aç
Open the feed anyway, %1$d left today	Akışı yine de aç, bugün %1$d hak kaldı
Open the feed anyway, the last time today	Akışı yine de aç, bugün son kez
Open the feed once so Hushfeed can see which bottom tabs TikTok loaded.	Hushfeed'in TikTok'un hangi alt sekmeleri yüklediğini görebilmesi için akışı bir kez aç.
Open the feed once so Hushfeed can see which tabs TikTok loaded.	Hushfeed'in TikTok'un hangi sekmeleri yüklediğini görebilmesi için akışı bir kez aç.
Open the profile again and try once more	Profili yeniden aç ve bir kez daha dene
Open the story again and try once more	Hikayeyi yeniden aç ve bir kez daha dene
Open TikTok on	TikTok'u şu sayfada aç
Opens github.com in your browser	github.com adresini tarayıcında açar
Operator code	Operatör kodu
Operator name	Operatör adı
Original language	Orijinal dil
Other	Diğer
Other feed filters	Diğer akış filtreleri
Overridden	Geçersiz kılındı
Override	Geçersiz kılma
Override SIM details	SIM bilgilerini geçersiz kıl
Override set, not read yet	Geçersiz kılma ayarlandı, henüz okunmadı
Override store region (experimental)	Mağaza bölgesini geçersiz kıl (deneysel)
Override this configuration	Bu yapılandırmayı geçersiz kıl
Override this gate	Bu özellik kapısını geçersiz kıl
Overrides are disabled in the Feature Gate Lab.	Geçersiz kılmalar Feature Gate Lab'de devre dışı.
Overrides disabled. Restart TikTok to apply this.	Geçersiz kılmalar devre dışı bırakıldı. Bunu uygulamak için TikTok'u yeniden başlat.
Overrides enabled. Restart TikTok to apply this.	Geçersiz kılmalar etkinleştirildi. Bunu uygulamak için TikTok'u yeniden başlat.
Paid partnerships	Ücretli ortaklıklar
People, shortcuts and sending controls	Kişiler, kısayollar ve gönderme kontrolleri
Photo	Fotoğraf
Photo and image posts	Fotoğraf ve görsel gönderileri
Photo destination	Fotoğraf kayıt konumu
Photo filename	Fotoğraf dosya adı
Photos and stickers	Fotoğraflar ve çıkartmalar
Pick the actions to remove from the share sheet. Names you typed by hand that TikTok hasn't shown yet stay in the list above.	Paylaşım menüsünden kaldırılacak eylemleri seç. Elle yazdığın ve TikTok'un henüz göstermediği adlar yukarıdaki listede kalır.
Pick the buttons to take off the column. The rest stay where they are.	Sütundan kaldırılacak düğmeleri seç. Geri kalanlar yerinde kalır.
Play videos TikTok has classified without the overlay asking to be tapped through first.	TikTok'un sınıflandırdığı videoları, önce dokunup geçmeni isteyen katman olmadan oynat.
Playback	Oynatma
Player	Oynatıcı
Player config	Oynatıcı yapılandırması
Playlist posts	Oynatma listesi gönderileri
Popular	Popüler
Popups	Açılır pencereler
Preset	Hazır ayar
Press and hold a profile picture to save the full size original to your photo destination.	Tam boyutlu orijinali fotoğraf kayıt konumuna kaydetmek için bir profil fotoğrafına basılı tut.
Press and hold a story to save it. Stories have no save button of their own, and holding one is how TikTok pauses it, so this takes that gesture over.	Bir hikayeyi kaydetmek için ona basılı tut. Hikayelerin kendi kaydet düğmesi yoktur ve TikTok hikayeyi basılı tutunca duraklatır, bu yüzden bu ayar o hareketi devralır.
Press and hold the left or right third of the screen to jump back or forward. The middle third keeps the Long press action.	Geri veya ileri atlamak için ekranın sol ya da sağ üçte birine basılı tut. Ortadaki üçte birlik bölüm Uzun basma eylemini korur.
Preview shortened. Save JSON includes the full report.	Önizleme kısaltıldı. JSON'u kaydet, raporun tamamını içerir.
Privacy	Gizlilik
Privacy and system	Gizlilik ve sistem
Profile	Profil
Profile picture saved to %1$s	Profil fotoğrafı %1$s konumuna kaydedildi
Profile share actions	Profil paylaşım eylemleri
Promotional music	Tanıtım müziği
Proof	Kanıt
Post age	Gönderi yaşı
Pulling down at the top of For You no longer reloads it.	Senin İçin'in en üstünde aşağı çekmek artık akışı yenilemez.
Putting the settings back to their defaults	Ayarlar varsayılanlarına döndürülüyor
Quality	Kalite
Quality, files, subtitles and hand-off	Kalite, dosyalar, altyazılar ve başka uygulamaya aktarma
Quality, speed and auto-advance	Kalite, hız ve otomatik geçiş
Quick setup	Hızlı kurulum
Reading	Okuma
Recorded gate reads (%1$d)	Kaydedilen özellik kapısı okumaları (%1$d)
Recording gate reads. Use a feature, then return here to stop.	Özellik kapısı okumaları kaydediliyor. Bir özellik kullan, sonra durdurmak için buraya dön.
Put back the settings saved before the last restore or reset.	Son geri yükleme veya sıfırlamadan önce kaydedilen ayarları geri koy.
Recovered an interrupted settings change. Restart TikTok to apply this.	Yarıda kalan bir ayar değişikliği kurtarıldı. Bunu uygulamak için TikTok'u yeniden başlat.
Refresh values	Değerleri yenile
Refreshing current TikTok cache...	Geçerli TikTok önbelleği yenileniyor...
Region	Bölge
Country filters	Ülke filtreleri
Remember the last speed	Son hızı hatırla
Remind me every	Hatırlatma aralığı
Remove	Kaldır
Remove %1$s	Kaldır: %1$s
Remove all overrides	Tüm geçersiz kılmaları kaldır
Remove feed ads	Akış reklamlarını kaldır
Remove feed ads, creator commission posts, paid partnerships, and branded content.	Akış reklamlarını, içerik üreticisi komisyon gönderilerini, ücretli ortaklıkları ve markalı içerikleri kaldır.
Hide the Share via row.	Şununla paylaş satırını gizle.
Hide the actions row of the share sheet.	Paylaşım menüsündeki eylemler satırını gizle.
Hide the magnifying glass at the top of Inbox. Search on the feed and in comments is unchanged.	Gelen Kutusu'nun üstündeki büyüteci gizle. Akıştaki ve yorumlardaki arama değişmez.
Hide the row of friends at the top of the share sheet.	Paylaşım menüsünün üstündeki arkadaşlar satırını gizle.
Hide the suggested-search strip above the bottom tabs and let video details and side controls use its space. The top search button and comments stay unchanged.	Alt sekmelerin üstündeki önerilen arama şeridini gizle ve video ayrıntılarıyla yan kontrollerin bu alanı kullanmasını sağla. Üstteki arama düğmesi ve yorumlar değişmez.
Remove tracking parameters from shared links.	Paylaşılan bağlantılardan izleme parametrelerini kaldır.
Remove watermark	Filigranı kaldır
Removed %1$s	%1$s kaldırıldı
Replace values when TikTok asks for them	TikTok istediğinde değerleri değiştir
Report saved to %1$s	Rapor %1$s konumuna kaydedildi
Required	Gerekli
Researched	Araştırıldı
Researched values	Araştırılmış değerler
Reset	Sıfırla
Reset %1$d gates of %2$d. Restart TikTok to apply this.	%1$d / %2$d özellik kapısı sıfırlandı. Bunu uygulamak için TikTok'u yeniden başlat.
Reset %1$d gates. Restart TikTok to apply this.	%1$d özellik kapısı sıfırlandı. Bunu uygulamak için TikTok'u yeniden başlat.
Reset 1 gate of %2$d. Restart TikTok to apply this.	1 / %2$d özellik kapısı sıfırlandı. Bunu uygulamak için TikTok'u yeniden başlat.
Reset 1 gate. Restart TikTok to apply this.	1 özellik kapısı sıfırlandı. Bunu uygulamak için TikTok'u yeniden başlat.
Reset override	Geçersiz kılmayı sıfırla
Reset position	Konumu sıfırla
Reset settings	Ayarları sıfırla
Restart TikTok to apply %1$d changes	%1$d değişikliği uygulamak için TikTok'u yeniden başlat
Restart TikTok to apply this change	Bu değişikliği uygulamak için TikTok'u yeniden başlat
Restart TikTok to apply this.	Bunu uygulamak için TikTok'u yeniden başlat.
Restart now	Şimdi yeniden başlat
Restart pending	Yeniden başlatma bekleniyor
Put every setting back to its default straight away. Your current settings are kept for Undo.	Her ayarı hemen varsayılanına döndür. Geçerli ayarların Geri al için saklanır.
Restore failed. Some settings may still be changed.	Geri yükleme başarısız oldu. Bazı ayarlar yine de değişmiş olabilir.
Restore failed. Some settings may still be changed. Use Undo to put them back.	Geri yükleme başarısız oldu. Bazı ayarlar yine de değişmiş olabilir. Geri koymak için Geri al'ı kullan.
Restore settings	Ayarları geri yükle
Restore setup	Düzeni geri yükle
Lab settings put back. Restart TikTok to apply this.	Lab ayarları geri kondu. Bunu uygulamak için TikTok'u yeniden başlat.
Restoring setup	Düzen geri yükleniyor
Restoring your settings	Ayarların geri yükleniyor
Resume videos after scrolling	Kaydırdıktan sonra videoları sürdür
Retry	Yeniden dene
Return a copy with the fields below changed	Aşağıdaki alanları değiştirilmiş bir kopya döndür
Return after using a TikTok feature to see every gate read during the recording.	Kayıt sırasında okunan tüm özellik kapılarını görmek için bir TikTok özelliği kullandıktan sonra geri dön.
Returns %1$s	%1$s döndürür
Right column	Sağ sütun
Rows	Satırlar
SIM country preset	SIM ülke hazır ayarı
STEM	STEM
Sanitize sharing links	Paylaşım bağlantılarını temizle
Save	Kaydet
Save JSON	JSON'u kaydet
Save SRT files with the video. Paired saves use Movies on Android 11+, Download on Android 10, and your video folder on older versions.	SRT dosyalarını videoyla birlikte kaydet. Eşli kayıtlar Android 11+ sürümlerinde Movies, Android 10'da Download, daha eski sürümlerde ise video klasörünü kullanır.
Save a profile picture on a long press	Uzun basınca profil fotoğrafını kaydet
Save a story on a long press	Uzun basınca hikayeyi kaydet
Save every photo in the post as TikTok received it, not as the screen shows it.	Gönderideki her fotoğrafı ekranın gösterdiği gibi değil, TikTok'un aldığı gibi kaydet.
Save field values	Alan değerlerini kaydet
Save full report	Raporun tamamını kaydet
Save media	Medyayı kaydet
Save Hushfeed settings and Feature Gate Lab rules to a JSON file.	Hushfeed ayarlarını ve Feature Gate Lab kurallarını bir JSON dosyasına kaydet.
Save subtitles beside videos	Altyazıları videoların yanına kaydet
Save the latest available TikTok crash report for diagnostic export.	Tanılama dışa aktarımı için mevcut en son TikTok çökme raporunu kaydet.
Save the original sound	Orijinal sesi kaydet
Save the sound as well	Sesi de kaydet
Save videos without sound	Videoları sessiz kaydet
Save, restore, reset and undo your settings	Ayarlarını kaydet, geri yükle, sıfırla ve geri al
Saved	Kaydedildi
Saved %1$s	%1$s kaydedildi
Saved %1$s of %2$s photos before the story failed	Hikaye başarısız olmadan önce %1$s / %2$s fotoğraf kaydedildi
Saved %1$s original photos	%1$s orijinal fotoğraf kaydedildi
Saved one original photo	Bir orijinal fotoğraf kaydedildi
Saved, override off	Kaydedildi, geçersiz kılma kapalı
Saved. Restart TikTok to apply this.	Kaydedildi. Bunu uygulamak için TikTok'u yeniden başlat.
Saving	Kaydediliyor
Saving %1$s original photos	%1$s orijinal fotoğraf kaydediliyor
Saving one original photo	Bir orijinal fotoğraf kaydediliyor
Saving settings backup	Ayar yedeği kaydediliyor
Saving sticker	Çıkartma kaydediliyor
Saving the selected video quality	Seçilen video kalitesi kaydediliyor
Saving the selected video quality without sound	Seçilen video kalitesi sessiz olarak kaydediliyor
Saving the story	Hikaye kaydediliyor
Saving video and subtitles to %1$s	Video ve altyazılar %1$s konumuna kaydediliyor
Screen	Ekran
Screen time	Ekran süresi
Search	Arama
Search and override gates	Özellik kapılarını ara ve geçersiz kıl
Search by name or gate key	Ada veya özellik kapısı anahtarına göre ara
Search by name, description or category.	Ada, açıklamaya veya kategoriye göre ara.
Search countries or operators	Ülke veya operatör ara
Search hidden creators	Gizlenen içerik üreticilerinde ara
Search settings	Ayarlarda ara
Search share actions	Paylaşım eylemlerinde ara
Search these comments	Bu yorumlarda ara
Search translated titles and descriptions, then open the original setting.	Çevrilmiş başlık ve açıklamalarda ara, sonra asıl ayarı aç.
Search within comments	Yorumların içinde ara
Seconds. Zero keeps every length. If everything the feed just sent would be filtered out, the video closest to your limit is kept so the feed is not empty.	Saniye. Sıfır, her uzunluğu tutar. Akışın az önce gönderdiği her şey filtrelenecekse akış boş kalmasın diye sınırına en yakın video tutulur.
Seek by	Sarma miktarı
Seek from the edges	Kenarlardan sar
Seen	Görüldü
Seen this session	Bu oturumda görüldü
Seen videos	Görülen videolar
Seen videos cleared. You can undo until TikTok closes.	Görülen videolar temizlendi. TikTok kapanana kadar geri alabilirsin.
Seen videos put back	Görülen videolar geri kondu
Select	Seç
Select at least one field.	En az bir alan seç.
Select every tab	Tüm sekmeleri seç
Selected	Seçildi
Send links to another app	Bağlantıları başka bir uygulamaya gönder
Sending feedback	Geri bildirim gönderme
Series posts	Seri gönderileri
Settings	Ayarlar
Settings are back to their defaults. Restart TikTok to apply all changes.	Ayarlar varsayılanlarına döndü. Tüm değişiklikleri uygulamak için TikTok'u yeniden başlat.
Settings backup saved	Ayar yedeği kaydedildi
Settings couldn't open	Ayarlar açılamadı
Settings couldn't refresh completely. Reopen settings and try again.	Ayarlar tamamen yenilenemedi. Ayarları yeniden aç ve tekrar dene.
Settings restored. Restart TikTok to apply all changes.	Ayarlar geri yüklendi. Tüm değişiklikleri uygulamak için TikTok'u yeniden başlat.
Settings restored. The Feature Gate Lab rules were for another TikTok version and were left out. Restart TikTok to apply all changes.	Ayarlar geri yüklendi. Feature Gate Lab kuralları başka bir TikTok sürümü içindi ve dışarıda bırakıldı. Tüm değişiklikleri uygulamak için TikTok'u yeniden başlat.
Share	Paylaş
Share links through another host	Bağlantıları başka bir sunucu üzerinden paylaş
Share sheet	Paylaşım menüsü
Shop	Mağaza
Shop posts	Mağaza gönderileri
Show	Göster
Show @username beside a video instead of the display name the creator chose.	Videonun yanında içerik üreticisinin seçtiği görünen ad yerine @kullanıcıadı göster.
Show TikTok's own progress bar on videos where it is normally hidden.	TikTok'un kendi ilerleme çubuğunu, normalde gizli olduğu videolarda göster.
Show TikTok's own sort sheet on every post, with its hot, newest, media and creator options, instead of whichever cut-down row your account was given. Restart TikTok to apply this. It reads the style once per run and remembers it.	Hesabına verilen kısaltılmış satır yerine her gönderide TikTok'un kendi sıralama panelini popüler, en yeni, medya ve içerik üreticisi seçenekleriyle göster. Bunu uygulamak için TikTok'u yeniden başlat. Stili her çalıştırmada bir kez okur ve hatırlar.
Show a video preview thumbnail while dragging the progress bar.	İlerleme çubuğunu sürüklerken video önizleme küçük resmi göster.
Show failures on screen	Hataları ekranda göster
Show gates	Özellik kapılarını göster
Show last report	Son raporu göster
Show search in LIVE	CANLI'da aramayı göster
Show TikTok's feed buttons	TikTok'un akış düğmelerini göster
Show the Not interested button	İlgilenmiyorum düğmesini göster
Show the block button on videos	Videolarda engelle düğmesini göster
Show the block sound button	Sesi engelle düğmesini göster
Show the country a video was posted from next to the creator's name.	Videonun paylaşıldığı ülkeyi içerik üreticisinin adının yanında göster.
Show the current spoken caption while the other controls are hidden.	Diğer kontroller gizliyken o an konuşulan altyazıyı göster.
Show the handle instead of the name	Ad yerine kullanıcı adını göster
Show the hide button on videos	Videolarda gizle düğmesini göster
Show the progress bar	İlerleme çubuğunu göster
Show the progress bar thumbnail	İlerleme çubuğu küçük resmini göster
Show the search entry inside TikTok's LIVE drawer, where available. This doesn't add a search box to video comments.	TikTok'un CANLI çekmecesindeki arama girişini, mümkün olan yerlerde göster. Bu, video yorumlarına bir arama kutusu eklemez.
Show the whole Activity and New followers lists instead of stopping at a View all button.	Tümünü gör düğmesinde durmak yerine Etkinlik ve Yeni takipçiler listelerinin tamamını göster.
Show the whole video instead of cropping it to the window. Nothing changes on a tall phone, where it already fits. On a folding phone opened up, a squarer screen or a split view the sides or the ends stop being cut off.	Videoyu pencereye sığsın diye kırpmak yerine tamamını göster. Videonun zaten sığdığı uzun telefonlarda hiçbir şey değişmez. Açılmış katlanabilir bir telefonda, kareye yakın bir ekranda veya bölünmüş görünümde kenarlar ya da uçlar artık kesilmez.
Show what is left of the budget	Bütçeden kalanı göster
Show when the camera or microphone is in use	Kamera veya mikrofon kullanılırken göster
Show where a video was posted	Videonun nerede paylaşıldığını göster
Showing %1$s again	%1$s yeniden gösteriliyor
Silence the feed while comments are open	Yorumlar açıkken akışın sesini kapat
Hide videos with blocked sounds	Engellenen sesleri kullanan videoları gizle
Skip content warnings	İçerik uyarılarını atla
Hide feed videos with place badges, even when they aren't paid ads. To keep the video and hide only its badge, use Hide location labels in Feed screen.	Ücretli reklam olmasalar bile yer rozeti taşıyan akış videolarını gizle. Videoyu tutup yalnızca rozetini gizlemek için Akış ekranındaki Konum etiketlerini gizle ayarını kullan.
Hide recorded LIVE broadcasts from the feed.	Kaydedilmiş CANLI yayınları akıştan gizle.
Hide videos marked as using promotional music.	Tanıtım müziği kullandığı belirtilen videoları gizle.
Hide videos that use a sound blocked with the player's sound button, or named below.	Oynatıcının ses düğmesiyle engellenen veya aşağıda adı yazılan bir sesi kullanan videoları gizle.
Skipping videos with %1$s	%1$s içeren videolar atlanıyor
Some Calm feed settings changed. Restore still puts back your earlier setup.	Bazı Sakin akış ayarları değişti. Geri yükle yine de önceki düzenini geri getirir.
