source,target
Some Calm feed settings changed. Restore still puts back your earlier setup.,Some Calm feed settings changed. Restore still puts back your earlier setup.
Something is missing from %1$s. Tap for the whole report.,Something is missing from %1$s. Tap for the whole report.
Sound link copied,Sound link copied
Sound saved to %1$s,Sound saved to %1$s
Source,Source
Speed,Speed
Speed menu choices,Speed menu choices
Speed while you hold the video,Speed while you hold the video
Split comment minimum width,Split comment minimum width
Start each new video at your default. A manual choice lasts until the video changes.,Start each new video at your default. A manual choice lasts until the video changes.
Start feature gate recording,Start feature gate recording
Start recording,Start recording
Start the day at,Start the day at
Start today over,Start today over
Start typing,Start typing
"Start with comments. Hide the comment count, sort and close buttons, plus the suggestion area above them. Use Back or swipe down to close comments.","Start with comments. Hide the comment count, sort and close buttons, plus the suggestion area above them. Use Back or swipe down to close comments."
Sticker,Sticker
Sticker destination,Sticker destination
Sticker saved to %1$s,Sticker saved to %1$s
Still here. Nothing is waiting.,Still here. Nothing is waiting.
Still reading the record. Tap again in a moment.,Still reading the record. Tap again in a moment.
Still saving the last one,Still saving the last one
"Stop ByteDance AppLog events, AppsFlyer attribution, explicit Firebase screen reports and crash reporting from being sent. TikTok's own diagnostics go quiet with them.","Stop ByteDance AppLog events, AppsFlyer attribution, explicit Firebase screen reports and crash reporting from being sent. TikTok's own diagnostics go quiet with them."
"Stop TikTok asking the screen to run at the frame rate of the video it is playing. On a 90 or 120 Hz phone that ask slows the whole app down to the video's rate, scrolling included.","Stop TikTok asking the screen to run at the frame rate of the video it is playing. On a 90 or 120 Hz phone that ask slows the whole app down to the video's rate, scrolling included."
"Stop TikTok listening to the accelerometer, gyroscope, magnetometer and the other motion sensors it uses to fingerprint the phone. Saves the battery they wake.","Stop TikTok listening to the accelerometer, gyroscope, magnetometer and the other motion sensors it uses to fingerprint the phone. Saves the battery they wake."
Stop TikTok reading what you copied. Copying a link from TikTok still works.,Stop TikTok reading what you copied. Copying a link from TikTok still works.
"Stop TikTok reporting that you viewed a story or a profile, or that you are typing. Online status is unchanged. It cannot undo what the server has already recorded.","Stop TikTok reporting that you viewed a story or a profile, or that you are typing. Online status is unchanged. It cannot undo what the server has already recorded."
Stop a long press on Like from opening TikTok's repost action.,Stop a long press on Like from opening TikTok's repost action.
Stop a long press on Share from opening TikTok's quick share action.,Stop a long press on Share from opening TikTok's quick share action.
Stop analytics and tracking,Stop analytics and tracking
Stop feature gate recording,Stop feature gate recording
Stop the brand animation that plays over the comments when what someone typed matches an advertiser's trigger.,Stop the brand animation that plays over the comments when what someone typed matches an advertiser's trigger.
Stop the bubble that asks you to share a video with friends after you like it.,Stop the bubble that asks you to share a video with friends after you like it.
Stop video looping,Stop video looping
Stop videos at the end instead of replaying them.,Stop videos at the end instead of replaying them.
Stopped after dismissing %1$s suggested accounts,Stopped after dismissing %1$s suggested accounts
Stopped after dismissing one suggested account,Stopped after dismissing one suggested account
Stopping after this file,Stopping after this file
Stories,Stories
Story saved to %1$s,Story saved to %1$s
Structured value observed,Structured value observed
Subtitle language,Subtitle language
Subtitles,Subtitles
Swipe left,Swipe left
System,System
Takes TikTok's own Auto scroll action out of the video panel. Auto-advance keeps working.,Takes TikTok's own Auto scroll action out of the video panel. Auto-advance keeps working.
Tap %1$s again to send,Tap %1$s again to send
Tap Repost on the bar under a video twice within %1$d seconds. A repost with a note is left alone.,Tap Repost on the bar under a video twice within %1$d seconds. A repost with a note is left alone.
Tap a comment's heart twice within %1$d seconds. A double tap on the comment needs a second one too. Removing a like stays immediate.,Tap a comment's heart twice within %1$d seconds. A double tap on the comment needs a second one too. Removing a like stays immediate.
Tap a story's heart twice within %1$d seconds. Removing a like stays immediate.,Tap a story's heart twice within %1$d seconds. Removing a like stays immediate.
Tap again to follow,Tap again to follow
Tap again to like,Tap again to like
Tap again to repost,Tap again to repost
Tap again to send,Tap again to send
Tap the feed Follow button twice within %1$d seconds.,Tap the feed Follow button twice within %1$d seconds.
Tap the like heart twice within %1$d seconds. Removing a like stays immediate.,Tap the like heart twice within %1$d seconds. Removing a like stays immediate.
Tap to start the feed,Tap to start the feed
Technical details,Technical details
"Technical details, %1$s","Technical details, %1$s"
That backup was written by a newer Hushfeed than this one. Nothing was altered.,That backup was written by a newer Hushfeed than this one. Nothing was altered.
That creator is already in the list,That creator is already in the list
"That creator pattern is too long to use, so it was skipped: %1$s","That creator pattern is too long to use, so it was skipped: %1$s"
"That creator pattern is too long, so it was not added: %1$s","That creator pattern is too long, so it was not added: %1$s"
"That file is not a loaded-values export, or it is larger than the Lab accepts","That file is not a loaded-values export, or it is larger than the Lab accepts"
"That file is not readable text, so it may have been damaged in transit. Nothing was altered.","That file is not readable text, so it may have been damaged in transit. Nothing was altered."
That file is too large to be a settings backup. Nothing was altered.,That file is too large to be a settings backup. Nothing was altered.
"That folder name has a character Android does not allow. Use letters, numbers, spaces or dashes.","That folder name has a character Android does not allow. Use letters, numbers, spaces or dashes."
That is %1$d minutes today,That is %1$d minutes today
That is %1$d videos today,That is %1$d videos today
That is not a Hushfeed settings backup. Nothing was altered.,That is not a Hushfeed settings backup. Nothing was altered.
"That is not an app name. Try something like com.example.downloader, or leave the box empty to keep saving in TikTok.","That is not an app name. Try something like com.example.downloader, or leave the box empty to keep saving in TikTok."
That is one minute today,That is one minute today
That is one video today,That is one video today
That list has too many entries. Keep it to %1$s or fewer.,That list has too many entries. Keep it to %1$s or fewer.
That list is too large. Keep it to %1$s KB or less.,That list is too large. Keep it to %1$s KB or less.
That preset is not recognized. Choose another.,That preset is not recognized. Choose another.
That settings backup contains a feed rule list larger than Hushfeed accepts. Nothing was altered.,That settings backup contains a feed rule list larger than Hushfeed accepts. Nothing was altered.
That settings backup holds a value Hushfeed cannot read. Nothing was altered.,That settings backup holds a value Hushfeed cannot read. Nothing was altered.
That settings backup holds more Feature Gate Lab rules than the Lab takes. Nothing was altered.,That settings backup holds more Feature Gate Lab rules than the Lab takes. Nothing was altered.
That settings backup is damaged or only partly downloaded. Nothing was altered.,That settings backup is damaged or only partly downloaded. Nothing was altered.
"That settings backup is incomplete, so it may have been cut short. Nothing was altered.","That settings backup is incomplete, so it may have been cut short. Nothing was altered."
That settings change did not go through. Nothing was altered.,That settings change did not go through. Nothing was altered.
That sticker is in a format Hushfeed cannot read,That sticker is in a format Hushfeed cannot read
The Activity row of likes and comments on your posts leaves the Inbox. Notifications about them still arrive.,The Activity row of likes and comments on your posts leaves the Inbox. Notifications about them still arrive.
The Archive row leaves the Inbox. Archived chats are kept.,The Archive row leaves the Inbox. Archived chats are kept.
The Lab can't check this. TikTok gets it exactly as typed.,The Lab can't check this. TikTok gets it exactly as typed.
The Lab couldn't open. Go back and open it again.,The Lab couldn't open. Go back and open it again.
"The Lab keeps at most %1$s rules. This change would make %2$s, so nothing was changed.","The Lab keeps at most %1$s rules. This change would make %2$s, so nothing was changed."
The Message requests row leaves the Inbox. Requests keep arriving and wait there until you turn this off.,The Message requests row leaves the Inbox. Requests keep arriving and wait there until you turn this off.
The New followers row leaves the top of the Inbox. The accounts still follow you.,The New followers row leaves the top of the Inbox. The accounts still follow you.
The Tako assistant's conversation leaves the Inbox list. The Tako bubble on the feed has its own switch under Feed tabs.,The Tako assistant's conversation leaves the Inbox list. The Tako bubble on the feed has its own switch under Feed tabs.
The accounts TikTok suggests you follow no longer take up rows in the Inbox.,The accounts TikTok suggests you follow no longer take up rows in the Inbox.
The activity status control leaves the Inbox header. Whether others see you as active is unchanged.,The activity status control leaves the Inbox header. Whether others see you as active is unchanged.
"The add people icon leaves the Inbox header. Only the shortcut goes, so friend suggestions elsewhere are unchanged.","The add people icon leaves the Inbox header. Only the shortcut goes, so friend suggestions elsewhere are unchanged."
The catalog says this key is %1$s and this override is %2$s. Reset the override and make a new one.,The catalog says this key is %1$s and this override is %2$s. Reset the override and make a new one.
The diagnostic report couldn't be saved yet. Try again in a moment.,The diagnostic report couldn't be saved yet. Try again in a moment.
The diagnostic report couldn't be saved. Try again.,The diagnostic report couldn't be saved. Try again.
The downloader app you chose isn't installed. Check Send links to another app under Downloads.,The downloader app you chose isn't installed. Check Send links to another app under Downloads.
The export failed and the partial file couldn't be removed. Delete it from your Downloads folder.,The export failed and the partial file couldn't be removed. Delete it from your Downloads folder.
"The feed dims over the last three quarters of a minute before the hold, so you arrive at it rather than land on it. Needs a time budget and a hold to arrive at.","The feed dims over the last three quarters of a minute before the hold, so you arrive at it rather than land on it. Needs a time budget and a hold to arrive at."
The feed does not end. This is a fine time to leave it.,The feed does not end. This is a fine time to leave it.
The feed is open again,The feed is open again
"The feed waits for one tap before it starts playing again when you come back to the app. Messages, profiles and search are still one tap away.","The feed waits for one tap before it starts playing again when you come back to the app. Messages, profiles and search are still one tap away."
The file hushfeed-safe-mode couldn't be removed. Delete it from TikTok's folder under Android/data to turn Hushfeed back on.,The file hushfeed-safe-mode couldn't be removed. Delete it from TikTok's folder under Android/data to turn Hushfeed back on.
"The hour both budgets reset, on a 24 hour clock. Four in the morning by default, because someone still scrolling at one is having last night.","The hour both budgets reset, on a 24 hour clock. Four in the morning by default, because someone still scrolling at one is having last night."
The live photo's clip couldn't be saved. Try again.,The live photo's clip couldn't be saved. Try again.
The loaded-values file you chose couldn't be read. Try again.,The loaded-values file you chose couldn't be read. Try again.
"The original photos aren't available, so TikTok's own save runs instead","The original photos aren't available, so TikTok's own save runs instead"
"The override changes no fields. Edit the field values, or reset the override.","The override changes no fields. Edit the field values, or reset the override."
"The override couldn't be applied: %1$s. Edit the field values, or reset the override.","The override couldn't be applied: %1$s. Edit the field values, or reset the override."
"The override doesn't say what list to return. Edit the field values, or reset the override.","The override doesn't say what list to return. Edit the field values, or reset the override."
The profile picture couldn't be saved. Try again.,The profile picture couldn't be saved. Try again.
"The record of an interrupted settings change couldn't be read, so it was set aside. Check your settings.","The record of an interrupted settings change couldn't be read, so it was set aside. Check your settings."
The report couldn't be saved. Try again.,The report couldn't be saved. Try again.
The row of story avatars across the top of the Inbox goes. Stories still play from the feed and from profiles.,The row of story avatars across the top of the Inbox goes. Stories still play from the feed and from profiles.
The setting couldn't finish updating. Its saved value is shown.,The setting couldn't finish updating. Its saved value is shown.
The settings backup was rejected. Nothing was altered.,The settings backup was rejected. Nothing was altered.
The smallest value is above the largest,The smallest value is above the largest
The sound couldn't be saved. Try again.,The sound couldn't be saved. Try again.
The sticker couldn't be saved. Try again.,The sticker couldn't be saved. Try again.
The story couldn't be saved. Try again.,The story couldn't be saved. Try again.
"The thumbs down on each comment blocks the commenter instead of disliking. The comment dims, an undo banner follows, and a second tap unblocks.","The thumbs down on each comment blocks the commenter instead of disliking. The comment dims, an undo banner follows, and a second tap unblocks."
"The video couldn't be saved. Try again, or choose Automatic.","The video couldn't be saved. Try again, or choose Automatic."
There is no Lab change to undo.,There is no Lab change to undo.
There is no diagnostic data to clear,There is no diagnostic data to clear
There is no diagnostic data to put back,There is no diagnostic data to put back
There was nothing to put back,There was nothing to put back
These loaded values are for a different TikTok version.,These loaded values are for a different TikTok version.
This catalog entry is no longer available. Refresh the Lab and try again.,This catalog entry is no longer available. Refresh the Lab and try again.
This change couldn't be saved. Try again.,This change couldn't be saved. Try again.
This configuration has no fields that can be copied and changed safely on this build.,This configuration has no fields that can be copied and changed safely on this build.
This file has more loaded values than the Lab takes at once.,This file has more loaded values than the Lab takes at once.
This file has no loaded values in it.,This file has no loaded values in it.
This file isn't a loaded-values export from the Feature Gate Lab.,This file isn't a loaded-values export from the Feature Gate Lab.
This gate type is not supported.,This gate type is not supported.
"This is the video's own sound, so YouTube Music won't have it","This is the video's own sound, so YouTube Music won't have it"
"This key isn't in the local catalog, so its type can't be checked. Reset the override.","This key isn't in the local catalog, so its type can't be checked. Reset the override."
"This key touches account safety. Forcing it can change login, region, payment or security checks.","This key touches account safety. Forcing it can change login, region, payment or security checks."
"This line opens a rule and does not finish it: %1$s. Write two phrases as ""a"" & ""b"" for both, or ""a"" !& ""b"" for the first without the second.","This line opens a rule and does not finish it: %1$s. Write two phrases as ""a"" & ""b"" for both, or ""a"" !& ""b"" for the first without the second."
"This phone has no file picker, so there is no way to choose a file here","This phone has no file picker, so there is no way to choose a file here"
This phone has no folder picker. Type the folder into the row instead.,This phone has no folder picker. Type the folder into the row instead.
This profile picture isn't available to save,This profile picture isn't available to save
"This quality isn't available as a complete file, so TikTok's own save runs instead","This quality isn't available as a complete file, so TikTok's own save runs instead"
"This setting's value can't be copied on this build, so it can't be overridden. Reset the override.","This setting's value can't be copied on this build, so it can't be overridden. Reset the override."
This story isn't available to save,This story isn't available to save
This value is required.,This value is required.
This video has no link to copy,This video has no link to copy
"This video has no link to send, so TikTok's own save runs instead","This video has no link to send, so TikTok's own save runs instead"
This video has no original sound to save,This video has no original sound to save
This video has no sound of its own,This video has no sound of its own
This video's sound has no title to look for,This video's sound has no title to look for
Thumbs down blocks the commenter,Thumbs down blocks the commenter
"TikTok closed three times within a minute of starting, so Hushfeed paused itself. Your settings stay as they are.","TikTok closed three times within a minute of starting, so Hushfeed paused itself. Your settings stay as they are."
TikTok default,TikTok default
"TikTok default (hold to speed up, quick share)","TikTok default (hold to speed up, quick share)"
TikTok default (open the creator's profile),TikTok default (open the creator's profile)
TikTok did not block %1$s. Try again in a moment.,TikTok did not block %1$s. Try again in a moment.
TikTok did not unblock %1$s. Try again in a moment.,TikTok did not unblock %1$s. Try again in a moment.
TikTok didn't accept the feedback. Try again later.,TikTok didn't accept the feedback. Try again later.
"TikTok hasn't handed this setting an object to change yet. Open the part of the app that uses it, then come back.","TikTok hasn't handed this setting an object to change yet. Open the part of the app that uses it, then come back."
TikTok read it,TikTok read it
"TikTok read it, but the override couldn't be applied. Reset it and save it again.","TikTok read it, but the override couldn't be applied. Reset it and save it again."
TikTok refused the follow with code %1$s,TikTok refused the follow with code %1$s
TikTok refused the follow with code %1$s. A hidden CAPTCHA may be the cause.,TikTok refused the follow with code %1$s. A hidden CAPTCHA may be the cause.
TikTok refused the follow: %1$s,TikTok refused the follow: %1$s
TikTok refused the follow: %1$s A hidden CAPTCHA may be the cause.,TikTok refused the follow: %1$s A hidden CAPTCHA may be the cause.
TikTok runs as if it were not patched. Your settings stay as they are.,TikTok runs as if it were not patched. Your settings stay as they are.
"TikTok's own daily screen-time reminder sends the app to the background instead of waiting to be dismissed. Coming straight back leaves the reminder on screen, so the limit stays reachable. Needs a daily limit set under TikTok's Settings and privacy, under Time and well-being.","TikTok's own daily screen-time reminder sends the app to the background instead of waiting to be dismissed. Coming straight back leaves the reminder on screen, so the limit stays reachable. Needs a daily limit set under TikTok's Settings and privacy, under Time and well-being."
TikTok's own value,TikTok's own value
TikTok's play and pause button and its previous and next buttons appear on the feed. TikTok otherwise shows them only to people who use a screen reader. TikTok's analytics note the row and each press on it.,TikTok's play and pause button and its previous and next buttons appear on the feed. TikTok otherwise shows them only to people who use a screen reader. TikTok's analytics note the row and each press on it.
TikTok's server can put an account into an experiment that empties the Favorites tab on your profile. Keep the tab and its saved videos.,TikTok's server can put an account into an experiment that empties the Favorites tab on your profile. Keep the tab and its saved videos.
TikTok's size,TikTok's size
Times you can open the feed anyway,Times you can open the feed anyway
"Today has moved on, so there is nothing to put back","Today has moved on, so there is nothing to put back"
Today is back where it was,Today is back where it was
Today started over. Tap again to put the counts back.,Today started over. Tap again to put the counts back.
Today starts again,Today starts again
Today's budget is locked. The day starts over at %1$s.,Today's budget is locked. The day starts over at %1$s.
"Today's budget is locked. The feed opens again at %1$s. Messages, profiles and search still work.","Today's budget is locked. The feed opens again at %1$s. Messages, profiles and search still work."
Today's budget is locked. This can be changed again at %1$s.,Today's budget is locked. This can be changed again at %1$s.
Today: %1$d minute,Today: %1$d minute
Today: %1$d minutes,Today: %1$d minutes
Today: %1$d video,Today: %1$d video
Today: %1$d videos,Today: %1$d videos
"Tokens: {creator}, {date}, {video_id}, {index}. {index} numbers the photos of a slideshow you save with Download original photos; anything saved through TikTok's own button is numbered by the folder instead. The file extension is kept automatically.","Tokens: {creator}, {date}, {video_id}, {index}. {index} numbers the photos of a slideshow you save with Download original photos; anything saved through TikTok's own button is numbered by the folder instead. The file extension is kept automatically."
"Tokens: {creator}, {date}, {video_id}. The file extension is kept automatically.","Tokens: {creator}, {date}, {video_id}. The file extension is kept automatically."
"Tokens: {date}, {media_id}. Works for image and video stickers.","Tokens: {date}, {media_id}. Works for image and video stickers."
Too many media saves are already running. Try again shortly.,Too many media saves are already running. Try again shortly.
Tracking,Tracking
"Tracking, device access and links","Tracking, device access and links"
"Translate comments as they load, using TikTok's own translator.","Translate comments as they load, using TikTok's own translator."
Transparent,Transparent
Try a different word or clear the search.,Try a different word or clear the search.
"Try again, or go back to TikTok.","Try again, or go back to TikTok."
Turn Hushfeed back on,Turn Hushfeed back on
Turn on %1$s first.,Turn on %1$s first.
Turn on overrides,Turn on overrides
"Turn this on while you record logs for a bug report, then turn it off again. While it is on, TikTok can feel slower and may crash.","Turn this on while you record logs for a bug report, then turn it off again. While it is on, TikTok can feel slower and may crash."
Turned off %1$d gates of %2$d. The rest do not take a true or false value. Restart TikTok to apply this.,Turned off %1$d gates of %2$d. The rest do not take a true or false value. Restart TikTok to apply this.
Turned off %1$d gates. Restart TikTok to apply this.,Turned off %1$d gates. Restart TikTok to apply this.
Turned off 1 gate of %2$d. The rest do not take a true or false value. Restart TikTok to apply this.,Turned off 1 gate of %2$d. The rest do not take a true or false value. Restart TikTok to apply this.
Turned off 1 gate. Restart TikTok to apply this.,Turned off 1 gate. Restart TikTok to apply this.
"Two letters, like us, gb or jp.","Two letters, like us, gb or jp."
Type,Type
Unavailable,Unavailable
Unblock,Unblock
Unblock this commenter,Unblock this commenter
Unblocked %1$s,Unblocked %1$s
Undo,Undo
Undo clearing seen videos,Undo clearing seen videos
Undo last Lab change,Undo last Lab change
Undo last restore or reset,Undo last restore or reset
Undoing the last change,Undoing the last change
"Until you choose here, this sheet follows your choices under Hide share actions.","Until you choose here, this sheet follows your choices under Hide share actions."
"Up to %1$d speeds from %2$s to %3$s, separated by commas. Example: 0.5, 1, 1.5, 2, 2.5, 3. Leave empty for TikTok's list. Restart TikTok to apply this.","Up to %1$d speeds from %2$s to %3$s, separated by commas. Example: 0.5, 1, 1.5, 2, 2.5, 3. Leave empty for TikTok's list. Restart TikTok to apply this."
"Use 0 for TikTok's size, or %1$d to %2$d. Applies to the next caption.","Use 0 for TikTok's size, or %1$d to %2$d. Applies to the next caption."
Use Calm feed,Use Calm feed
Use Save JSON for this large report,Use Save JSON for this large report
"Use TikTok's own hold, pull down and release gesture to keep playing at the hold speed, 2x unless Playback sets another.","Use TikTok's own hold, pull down and release gesture to keep playing at the hold speed, 2x unless Playback sets another."
Use a default playback speed,Use a default playback speed
Use non-personalized search,Use non-personalized search
Use system font,Use system font
Use the preset for the region TikTok reports for your account and its shop too. May affect search.,Use the preset for the region TikTok reports for your account and its shop too. May affect search.
"Use the selected country and operator values. This changes what the SIM says and nothing else: your IP address, your account's history and the language you read in are all unchanged, and any one of them is enough for TikTok to keep the region it already chose. Restart TikTok to apply this.","Use the selected country and operator values. This changes what the SIM says and nothing else: your IP address, your account's history and the language you read in are all unchanged, and any one of them is enough for TikTok to keep the region it already chose. Restart TikTok to apply this."
"Use the selected country. This changes what the SIM says and nothing else: your IP address, your account's history and the language you read in are all unchanged, and any one of them is enough for TikTok to keep the region it already chose. Restart TikTok to apply this.","Use the selected country. This changes what the SIM says and nothing else: your IP address, your account's history and the language you read in are all unchanged, and any one of them is enough for TikTok to keep the region it already chose. Restart TikTok to apply this."
"Use the split layout on wider screens. Restart TikTok to apply this. If the old layout is still there, unfold again.","Use the split layout on wider screens. Restart TikTok to apply this. If the old layout is still there, unfold again."
Use value,Use value
Use your own offline videos limit,Use your own offline videos limit
Using TikTok's value,Using TikTok's value
Value,Value
Value to return,Value to return
Verified accounts,Verified accounts
Version %1$s,Version %1$s
Version %1$s for TikTok %2$s,Version %1$s for TikTok %2$s
Video,Video
Video (MP4),Video (MP4)
Video destination,Video destination
Video download quality,Video download quality
Video filename,Video filename
Video info,Video info
Video playback quality,Video playback quality
Video saved,Video saved
"Video saved in %1$s, but only %2$s of %3$s subtitles came with it","Video saved in %1$s, but only %2$s of %3$s subtitles came with it"
Video saved with %1$s subtitles in %2$s,Video saved with %1$s subtitles in %2$s
Views range,Views range
Wait before hiding the controls.,Wait before hiding the controls.
Watching and sharing,Watching and sharing
"WebP, exactly as TikTok sent it","WebP, exactly as TikTok sent it"
What TikTok gets,What TikTok gets
"When TikTok requests this key, return the selected value below","When TikTok requests this key, return the selected value below"
"While diagnostic logging is on, a message names the part of Hushfeed that failed. Off keeps failures in the report only.","While diagnostic logging is on, a message names the part of Hushfeed that failed. Off keeps failures in the report only."
Window width needed to enable the layout. Restart TikTok to apply this.,Window width needed to enable the layout. Restart TikTok to apply this.
Words and countries,Words and countries
Working,Working
"Write the video's sound beside it as an .m4a. Android 10 and later file audio separately, so it lands in Music under the same folder name as your videos.","Write the video's sound beside it as an .m4a. Android 10 and later file audio separately, so it lands in Music under the same folder name as your videos."
YTDLnis background mode,YTDLnis background mode
YTDLnis download type,YTDLnis download type
Yes,Yes
YouTube Music couldn't be opened. Open it yourself and search for the sound.,YouTube Music couldn't be opened. Open it yourself and search for the sound.
YouTube Music isn't installed,YouTube Music isn't installed
Your current settings already match Calm feed.,Your current settings already match Calm feed.
Your feed,Your feed
Your filters hid everything TikTok just sent. Most were %1$s.,Your filters hid everything TikTok just sent. Most were %1$s.
"Your filters hid everything TikTok sent, %1$d times in a row. Most were %2$s.","Your filters hid everything TikTok sent, %1$d times in a row. Most were %2$s."
"Your operator's name, like T-Mobile.","Your operator's name, like T-Mobile."
"Your operator's numeric code, like 310260.","Your operator's numeric code, like 310260."
Your previous feed setup couldn't be restored. Nothing was changed.,Your previous feed setup couldn't be restored. Nothing was changed.
Your previous feed setup is back.,Your previous feed setup is back.
Your previous feed setup is back. Restart TikTok to apply every change.,Your previous feed setup is back. Restart TikTok to apply every change.
"Zero leaves the way out of the hold there every time, which is what it has always done. Anything else is how many times a day it works, and once they are gone the hold stays up until the day starts over. Ignored while the budget is locked, which takes the way out away entirely.","Zero leaves the way out of the hold there every time, which is what it has always done. Anything else is how many times a day it works, and once they are gone the hold stays up until the day starts over. Ignored while the budget is locked, which takes the way out away entirely."
"Zero means no limit. Counts the videos Hushfeed advanced past for you, not the ones you swiped yourself, and starts again when the feed is rebuilt or you change this number.","Zero means no limit. Counts the videos Hushfeed advanced past for you, not the ones you swiped yourself, and starts again when the feed is rebuilt or you change this number."
"Zero shows the notice and leaves the feed alone. Anything else covers the feed for that many minutes once a budget is reached. Messages, profiles and search keep working, and nothing in the feed is thrown away.","Zero shows the notice and leaves the feed alone. Anything else covers the feed for that many minutes once a budget is reached. Messages, profiles and search keep working, and nothing in the feed is thrown away."
"Zero switches this off. A short reminder after that many minutes of watching, and again after the same again. Time on messages, a profile or search does not count, and nothing is shown while the feed is on hold.","Zero switches this off. A short reminder after that many minutes of watching, and again after the same again. Time on messages, a profile or search does not count, and nothing is shown while the feed is on hold."
"Zero switches this off. Count every video that comes up in the feed, however you got to it, and say so once the count is reached. This is separate from the auto-advance session limit under Playback, which only counts videos Hushfeed itself advanced past.","Zero switches this off. Count every video that comes up in the feed, however you got to it, and say so once the count is reached. This is separate from the auto-advance session limit under Playback, which only counts videos Hushfeed itself advanced past."
"Zero switches this off. Count the minutes the player spends running in the feed. Time on messages, a profile or search does not count.","Zero switches this off. Count the minutes the player spends running in the feed. Time on messages, a profile or search does not count."
collapsed,collapsed
expanded,expanded
this creator,this creator
