# Settings text, English on the left, German on the right, one entry per line, tab separated.
# Keep %s and %d placeholders, {tokens} and product names as they are.
# scripts/gen-l10n.py turns this into a table inside L10nTranslations.java.
%1$d already matched	%1$d stimmten bereits überein
%1$d areas were checked and everything they need is here.	%1$d Bereiche wurden geprüft und alles, was sie brauchen, ist vorhanden.
%1$d fields overridden	%1$d Felder überschrieben
%1$d fields will be overridden when requested	%1$d Felder werden bei der Abfrage überschrieben
%1$d gates selected	%1$d Schalter ausgewählt
%1$d minutes left	Noch %1$d Minuten
%1$d rejected	%1$d abgelehnt
%1$d results	%1$d Ergebnisse
%1$d results so far	%1$d Ergebnisse bisher
%1$d results so far, and more not counted	%1$d Ergebnisse bisher, weitere nicht gezählt
%1$d results, filtered to %2$s	%1$d Ergebnisse, gefiltert nach %2$s
%1$d setting was not in that file and was left as it is	%1$d Einstellung stand nicht in dieser Datei und bleibt unverändert
%1$d settings were not in that file and were left as they are	%1$d Einstellungen standen nicht in dieser Datei und bleiben unverändert
%1$d unavailable	%1$d nicht verfügbar
%1$s (%2$s)	%1$s (%2$s)
%1$s (TikTok value)	%1$s (TikTok-Wert)
%1$s (custom, unverified)	%1$s (benutzerdefiniert, ungeprüft)
%1$s (override returned)	%1$s (Überschreibung zurückgegeben)
%1$s (will be returned when requested)	%1$s (wird bei der Abfrage zurückgegeben)
%1$s / current cache only	%1$s / nur aktueller Cache
%1$s / generated registry	%1$s / generiertes Register
%1$s / generated registry and current cache	%1$s / generiertes Register und aktueller Cache
%1$s / local catalog	%1$s / lokaler Katalog
%1$s and above	Ab %1$s
%1$s appears more than once in this file.	%1$s kommt in dieser Datei mehrmals vor.
%1$s changed	%1$s geändert
%1$s is already hidden	%1$s ist bereits ausgeblendet
%1$s destinations must start with %2$s	%1$s-Ziele müssen mit %2$s beginnen
%1$s has an invalid value. %2$s	%1$s hat einen ungültigen Wert. %2$s
%1$s is a kind of value the Lab cannot override.	%1$s ist eine Art von Wert, die das Lab nicht überschreiben kann.
%1$s has type %2$s, but the file says %3$s.	%1$s hat den Typ %2$s, in der Datei steht %3$s.
%1$s is not a country code, so no video would ever match it. Use two letters, like GB, IE or US.	%1$s ist kein Ländercode, also würde kein Video jemals dazu passen. Nimm zwei Buchstaben, etwa GB, IE oder US.
%1$s is not in this Lab catalog.	%1$s ist nicht in diesem Lab-Katalog enthalten.
%1$s isn't installed or doesn't take links	%1$s ist nicht installiert oder nimmt keine Links an
%1$s left	Noch %1$s
%1$s min left	Noch %1$s Min.
%1$s to %2$s	%1$s bis %2$s
%1$s videos left	Noch %1$s Videos
%1$s was rejected. %2$s	%1$s wurde abgelehnt. %2$s
%1$s, %2$s, %3$s, %4$s, %5$s	%1$s, %2$s, %3$s, %4$s, %5$s
%1$s, selected	%1$s, ausgewählt
%1$s. %2$s	%1$s. %2$s
%1$s: %2$d found, %3$d missing	%1$s: %2$d gefunden, %3$d fehlen
%1$s: %2$d found, %3$d missing, and more it stopped counting	%1$s: %2$d gefunden, %3$d fehlen, und weitere, die nicht mehr gezählt wurden
%1$s: %2$d found, %3$d missing, and more it stopped counting. First missing: %4$s	%1$s: %2$d gefunden, %3$d fehlen, und weitere, die nicht mehr gezählt wurden. Zuerst fehlte: %4$s
%1$s: %2$d found, %3$d missing. First missing: %4$s	%1$s: %2$d gefunden, %3$d fehlen. Zuerst fehlte: %4$s
%1$s: %2$s	%1$s: %2$s
1 field overridden	1 Feld überschrieben
Messages, profiles and search still work.	Nachrichten, Profile und die Suche funktionieren weiterhin.
Microphone in use	Mikrofon in Benutzung
Comments range	Spanne der Kommentare
Favorites range	Spanne der Favoriten
Likes range	Spanne der Likes
Shares range	Spanne der Shares
Views range	Spanne der Aufrufe
Minimum	Minimum
More options	Weitere Optionen
Move down	Nach unten verschieben
Move left	Nach links verschieben
Move right	Nach rechts verschieben
Move up	Nach oben verschieben
Music disc	Musikscheibe
Pauses the video behind the comment sheet while you read. It plays on from the same spot when the sheet closes.	Hält das Video hinter dem Kommentarfeld an, während du liest. Es läuft an derselben Stelle weiter, wenn das Feld geschlossen wird.
Nearby	In der Nähe
Never from these countries	Nie aus diesen Ländern
No	Nein
No creator to block on this video	Kein Ersteller zum Blockieren bei diesem Video
No creator to hide on this video	Kein Ersteller zum Ausblenden bei diesem Video
No creators are hidden yet. Hide one from a video, or add a handle above.	Noch keine Ersteller ausgeblendet. Einen im Video ausblenden oder oben einen Handle eingeben.
No current value	Kein aktueller Wert
No current value and no active override	Kein aktueller Wert und keine aktive Überschreibung
No delay	Keine Verzögerung
No gate data is available. Refresh values from the menu to try again.	Es sind keine Schalterdaten verfügbar. Werte über das Menü aktualisieren und es erneut versuchen.
No gate reads were recorded. Use a TikTok feature while recording.	Es wurden keine Gate-Zugriffe aufgezeichnet. Nutze während der Aufzeichnung eine TikTok-Funktion.
No gates match this filter.	Keine Schalter passen zu diesem Filter.
No gates match this search and filter.	Keine Schalter passen zu dieser Suche und diesem Filter.
No hidden creators match this search. Clear the search to see them all.	Keine ausgeblendeten Ersteller passen zu dieser Suche. Suche leeren, um alle zu sehen.
No limit	Keine Grenze
No matching comments. Try a different word, or clear the search with the X in the box.	Keine passenden Kommentare. Versuche es mit einem anderen Wort oder lösche die Suche mit dem X im Feld.
No matching countries. Try a country name or a two-letter code.	Keine passenden Laender. Versuche einen Laendernamen oder einen Zwei-Buchstaben-Code.
No matching diagnostics found	Keine passenden Diagnosedaten gefunden
No matching settings	Keine passenden Einstellungen
No preset selected. Choose a preset above.	Kein Preset ausgewaehlt. Waehle oben ein Preset.
No recording yet. Start one, use a feature, then return here.	Noch keine Aufzeichnung. Starte eine, nutze eine Funktion und komm dann hierher zurück.
No seen videos recorded yet.	Noch keine gesehenen Videos aufgezeichnet.
No share actions have been seen yet	Noch keine Share-Aktionen gesehen
No share actions match this search	Keine Share-Aktionen passen zu dieser Suche
No sound to block on this video	Bei diesem Video gibt es keinen Sound zum Blockieren
No suggested accounts to clear	Es gibt keine Kontovorschläge zum Entfernen
No video selected. Open a video first.	Kein Video ausgewaehlt. Oeffne zuerst ein Video.
None of these gates had an override to reset.	Keiner dieser Schalter hatte eine Überschreibung zum Zurücksetzen.
None of these gates takes a true or false value.	Keiner dieser Schalter nimmt einen true- oder false-Wert.
None recorded	Nichts aufgezeichnet
Normal	Normal
Not blocked	Nicht blockiert
Not interested in this video	Kein Interesse an diesem Video
Not read yet	Noch nicht gelesen
Not requested in this process yet	In diesem Prozess noch nicht angefordert
Not saved yet	Noch nicht gespeichert
Not seen	Nicht gesehen
Not seen yet	Noch nicht gesehen
Nothing has been checked yet, so there is nothing to report.	Es wurde noch nichts geprüft, also gibt es nichts zu berichten.
Nothing has been looked up yet. Use the app for a moment, then come back.	Bisher wurde nichts nachgeschlagen. Nutze die App einen Moment und komm dann zurück.
Nothing hidden.	Nichts ausgeblendet.
Nothing is playing to seek	Es läuft gerade nichts zum Springen
Nothing new was imported. %1$d already matched, %2$d unavailable, %3$d rejected.	Nichts Neues importiert. %1$d stimmten bereits überein, %2$d sind nicht verfügbar, %3$d wurden abgelehnt.
Nothing new was imported. %1$d already matched, %2$d unavailable, %3$d rejected. First rejection: %4$s	Nichts Neues wurde importiert. Bereits identisch: %1$d. Nicht verfügbar: %2$d. Abgelehnt: %3$d. Erste Ablehnung: %4$s
Nothing on this page changes what TikTok does until they are on.	Nichts auf dieser Seite ändert etwas an TikTok, solange sie aus sind.
Nothing to undo yet.	Noch nichts rückgängig zu machen.
Notices from this project and the ones it is built on	Hinweise aus diesem Projekt und aus den Projekten, auf denen es aufbaut
OK	OK
Off	Aus
Off forces false, on forces true. Reset hands the choice back to TikTok.	Aus erzwingt false, an erzwingt true. Zurücksetzen gibt die Entscheidung an TikTok zurück.
Offline videos	Offline-Videos
Offline videos limit	Limit für Offline-Videos
Older overrides were kept disabled. Review their values before enabling them on TikTok %1$s.	Ältere Überschreibungen bleiben abgeschaltet. Prüfe ihre Werte, bevor du sie unter TikTok %1$s einschaltest.
On mobile data	Bei mobilen Daten
Once today's budget runs out, the hold stays and cannot be dismissed. The budget settings are locked until the day starts over. Turn this off any time before the budget runs out.	Sobald das heutige Budget aufgebraucht ist, bleibt die Sperre bestehen. Die Budgeteinstellungen sind bis zum nächsten Tag gesperrt. Schalte dies jederzeit vor Ablauf des Budgets aus.
One area was checked and everything it needs is here.	Ein Bereich wurde geprüft und alles, was er braucht, ist vorhanden.
One minute left	Noch eine Minute
One of the quote marks in that list has nothing to close it, so the rest of the line reads as one phrase. Add the missing quote or take the stray one out.	Eines der Anführungszeichen in dieser Liste wird nicht geschlossen, deshalb liest sich der Rest der Zeile als eine einzige Wendung. Ergänze das fehlende Anführungszeichen oder entferne das überzählige.
One value per line	Ein Wert pro Zeile
Only bottom tabs TikTok has loaded on this device are shown here. This does not force unavailable tabs to appear.	Hier stehen nur die unteren Tabs, die TikTok auf diesem Gerät geladen hat. Nicht verfügbare Tabs erscheinen dadurch nicht.
Turn this on while you record logs for a bug report, then turn it off again. While it is on, TikTok can feel slower and may crash.	Schalte das ein, während du Protokolle für eine Fehlermeldung aufzeichnest, und danach wieder aus. Solange es an ist, kann TikTok träge wirken und abstürzen.
Only fields the Lab can check and copy safely are shown.	Es werden nur Felder gezeigt, die das Lab prüfen und gefahrlos kopieren kann.
Only from these countries	Nur aus diesen Ländern
Only tabs TikTok has loaded on this device are shown here. This does not force unavailable tabs to appear.	Hier stehen nur die Tabs, die TikTok auf diesem Gerät geladen hat. Nicht verfügbare Tabs erscheinen dadurch nicht.
Open a share sheet once, then return here to choose its actions.	Öffne einmal ein Share-Menü und kehre dann zurück, um seine Aktionen auszuwählen.
Open comments	Kommentare öffnen
Open external links directly	Externe Links direkt öffnen
Open messages	Nachrichten öffnen
Open profile and story website links in your system browser instead of TikTok's in-app browser.	Website-Links aus Profilen und Storys im Systembrowser öffnen statt in TikToks In-App-Browser.
Open the feed anyway	Feed trotzdem öffnen
Open the feed anyway, %1$d left today	Feed trotzdem öffnen, heute noch %1$d Mal
Open the feed anyway, the last time today	Feed trotzdem öffnen, heute zum letzten Mal
Open the feed once so Hushfeed can see which bottom tabs TikTok loaded.	Öffne die TikTok-Startseite, damit geladene untere Tabs erkannt werden.
Open the feed once so Hushfeed can see which tabs TikTok loaded.	Öffne den TikTok-Startfeed, damit geladene Tabs erkannt werden.
Open the profile again and try once more	Öffne das Profil erneut und versuche es noch einmal
Open the story again and try once more	Öffne die Story erneut und versuche es noch einmal
Open TikTok on	TikTok öffnen mit
Opens github.com in your browser	Öffnet github.com in deinem Browser
Operator code	Netzbetreibercode
Operator name	Name des Netzbetreibers
Original language	Originalsprache
Other	Sonstiges
Other feed filters	Andere Feed-Filter
Overridden	Überschrieben
Override	Überschreibung
Override SIM details	SIM-Angaben überschreiben
Override set, not read yet	Überschreibung gesetzt, noch nicht gelesen
Override store region (experimental)	Store-Region überschreiben (experimentell)
Override this configuration	Diese Konfiguration überschreiben
Override this gate	Diesen Schalter überschreiben
Overrides are disabled in the Feature Gate Lab.	Überschreibungen sind im Feature Gate Lab abgeschaltet.
Overrides disabled. Restart TikTok to apply this.	Überschreibungen deaktiviert. TikTok neu starten, damit das gilt.
Overrides enabled. Restart TikTok to apply this.	Überschreibungen aktiviert. TikTok neu starten, damit das gilt.
Paid partnerships	Bezahlte Partnerschaften
People, shortcuts and sending controls	Kontakte, Verknüpfungen und Versandoptionen
Photo	Foto
Photo and image posts	Foto- und Bildbeiträge
Photo destination	Speicherort für Fotos
Photo filename	Dateiname für Fotos
Photos and stickers	Fotos und Sticker
Pick the buttons to take off the column. The rest stay where they are.	Wähle die Schaltflächen, die aus der Spalte verschwinden sollen. Der Rest bleibt, wo er ist.
Play videos TikTok has classified without the overlay asking to be tapped through first.	Von TikTok eingestufte Videos abspielen, ohne dass erst eine Warnung weggetippt werden muss.
Playback	Wiedergabe
Player	Wiedergabe
Player config	Player-Konfiguration
Playlist posts	Playlist-Beiträge
Popular	Beliebt
Popups	Pop-ups
Press and hold a profile picture to save the full size original to your photo destination.	Ein Profilbild gedrückt halten, um das Original in voller Größe im Fotoordner zu speichern.
Press and hold a story to save it. Stories have no save button of their own, and holding one is how TikTok pauses it, so this takes that gesture over.	Eine Story gedrückt halten, um sie zu speichern. Stories haben keinen eigenen Speicher-Button, und Halten pausiert bei TikTok, also übernimmt das diese Geste.
Press and hold the left or right third of the screen to jump back or forward. The middle third keeps the Long press action.	Halte das linke oder rechte Drittel des Bildschirms gedrückt, um zurück oder vorwärts zu springen. Im mittleren Drittel gilt weiterhin die Aktion für langes Drücken.
Preview shortened. Save JSON includes the full report.	Vorschau gekürzt. JSON speichern enthält den vollständigen Bericht.
Privacy	Datenschutz
Privacy and system	Datenschutz und System
Profile	Profil
Profile picture saved to %1$s	Profilbild gespeichert unter %1$s
Profile share actions	Share-Aktionen im Profil
Promotional music	Werbemusik
Proof	Beleg
Post age	Beitragsalter
Add a search box that filters comments already loaded on this video by text or username. It doesn't search all of TikTok or remove TikTok's suggested-search banner.	Füge ein Suchfeld hinzu, das bereits geladene Kommentare zu diesem Video nach Text oder Nutzername filtert. Es durchsucht nicht ganz TikTok und entfernt nicht TikToks Banner mit Suchvorschlägen.
Pulling down at the top of For You no longer reloads it.	Herunterziehen ganz oben in „Für dich“ lädt den Feed nicht mehr neu.
Putting the settings back to their defaults	Einstellungen werden auf die Standardwerte zurückgesetzt
Quality	Qualität
Quality, files, subtitles and hand-off	Qualität, Dateien, Untertitel und Weitergabe
Quality, speed and auto-advance	Qualität, Tempo und automatisches Weiterschalten
Silence the feed while comments are open	Feed stummschalten, solange Kommentare offen sind
Reading	Lesen
Recorded gate reads (%1$d)	Aufgezeichnete Gate-Zugriffe (%1$d)
Recording gate reads. Use a feature, then return here to stop.	Gate-Zugriffe werden aufgezeichnet. Nutze eine Funktion und komm zum Beenden zurück.
Put back the settings saved before the last restore or reset.	Die Einstellungen zurückholen, die vor der letzten Wiederherstellung oder Zurücksetzung gespeichert wurden.
Recovered an interrupted settings change. Restart TikTok to apply this.	Eine unterbrochene Einstellungsänderung wurde wiederhergestellt. TikTok neu starten, damit das gilt.
Refresh values	Werte aktualisieren
Refreshing current TikTok cache...	Aktueller TikTok-Cache wird aktualisiert ...
Region	Region
Country filters	Länderfilter
Remember the last speed	Letzte Geschwindigkeit merken
Remind me every	Erinnere mich alle
Remove	Entfernen
Remove %1$s	%1$s entfernen
Remove all overrides	Alle Überschreibungen entfernen
Remove feed ads	Werbung im Feed entfernen
Remove feed ads, creator commission posts, paid partnerships, and branded content.	Feed-Werbung, Posts mit Creator-Provision, bezahlte Partnerschaften und Markeninhalte entfernen.
Hide voting cards and poll results above the comments, including polls that have ended.	Blende Abstimmungen und ihre Ergebnisse über den Kommentaren aus, auch wenn die Abstimmung bereits beendet ist.
Hide the Share via row.	Die Zeile „Teilen über“ ausblenden.
Hide the actions row of the share sheet.	Die Aktionszeile des Teilen-Menüs ausblenden.
Hide the row of friends at the top of the share sheet.	Die Freundesreihe oben im Teilen-Menü ausblenden.
Remove tracking parameters from shared links.	Tracking-Parameter aus geteilten Links entfernen.
Remove watermark	Wasserzeichen entfernen
Removed %1$s	%1$s entfernt
Replace values when TikTok asks for them	Werte ersetzen, wenn TikTok sie abfragt
Report saved to %1$s	Bericht gespeichert unter %1$s
Required	Erforderlich
Researched	Recherchiert
Researched values	Recherchierte Werte
Reset	Zurücksetzen
Reset %1$d gates of %2$d. Restart TikTok to apply this.	%1$d von %2$d Schaltern zurückgesetzt. TikTok neu starten, damit das gilt.
Reset %1$d gates. Restart TikTok to apply this.	%1$d Schalter zurückgesetzt. TikTok neu starten, damit das gilt.
Reset 1 gate of %2$d. Restart TikTok to apply this.	1 von %2$d Schaltern zurückgesetzt. TikTok neu starten, damit das gilt.
Reset 1 gate. Restart TikTok to apply this.	1 Schalter zurückgesetzt. TikTok neu starten, damit das gilt.
Reset override	Überschreibung zurücksetzen
Reset position	Position zurücksetzen
Reset settings	Einstellungen zurücksetzen
Restart now	Jetzt neu starten
Restart TikTok to apply %1$d changes	TikTok neu starten, um %1$d Änderungen anzuwenden
Restart TikTok to apply this change	TikTok neu starten, um diese Änderung anzuwenden
Restart TikTok to apply this.	TikTok neu starten, damit das gilt.
Restart pending	Neustart ausstehend
Put every setting back to its default straight away. Your current settings are kept for Undo.	Jede Einstellung sofort auf ihren Standardwert zurücksetzen. Deine aktuellen Einstellungen bleiben zum Rückgängigmachen erhalten.
Restore failed. Some settings may still be changed.	Wiederherstellung fehlgeschlagen. Einige Einstellungen können noch geändert sein.
Restore failed. Some settings may still be changed. Use Undo to put them back.	Wiederherstellung fehlgeschlagen. Einige Einstellungen können noch geändert sein. Nutze „Rückgängig“, um sie zurückzuholen.
Restore settings	Einstellungen wiederherstellen
Lab settings put back. Restart TikTok to apply this.	Lab-Einstellungen zurückgeholt. TikTok neu starten, damit das gilt.
Restoring your settings	Einstellungen werden wiederhergestellt
Resume videos after scrolling	Videos nach dem Scrollen fortsetzen
Retry	Erneut versuchen
Return a copy with the fields below changed	Eine Kopie mit den unten geänderten Feldern zurückgeben
Return after using a TikTok feature to see every gate read during the recording.	Komm nach dem Verwenden einer TikTok-Funktion zurück, um jeden Gate-Zugriff während der Aufzeichnung zu sehen.
Returns %1$s	Gibt %1$s zurück
Right column	Rechte Spalte
Rows	Zeilen
SIM country preset	SIM-Ländervorgabe
STEM	STEM
Sanitize sharing links	Teilen-Links bereinigen
Save	Speichern
Save JSON	JSON speichern
Save SRT files with the video. Paired saves use Movies on Android 11+, Download on Android 10, and your video folder on older versions.	SRT-Dateien zusammen mit dem Video speichern. Gemeinsame Speicherungen nutzen Movies ab Android 11, Download auf Android 10 und deinen Videoordner auf älteren Versionen.
Save a profile picture on a long press	Profilbild per langem Druck speichern
Save a story on a long press	Story per langem Druck speichern
Save every photo in the post as TikTok received it, not as the screen shows it.	Jedes Foto des Beitrags so speichern, wie TikTok es empfangen hat, nicht so, wie der Bildschirm es zeigt.
Save field values	Feldwerte speichern
Save full report	Vollständigen Bericht speichern
Save media	Medien speichern
Save Hushfeed settings and Feature Gate Lab rules to a JSON file.	Hushfeed-Einstellungen und Feature-Gate-Lab-Regeln in einer JSON-Datei speichern.
Save subtitles beside videos	Untertitel neben Videos speichern
Save the latest available TikTok crash report for diagnostic export.	Den neuesten verfügbaren TikTok-Absturzbericht für den Diagnose-Export speichern.
Save the original sound	Originalsound speichern
Save the sound as well	Ton ebenfalls speichern
Save videos without sound	Videos ohne Ton speichern
Save, restore, reset and undo your settings	Einstellungen sichern, wiederherstellen, zurücksetzen und rückgängig machen
Saved	Gespeichert
Saved %1$s	Gespeichert: %1$s
Saved %1$s of %2$s photos before the story failed	%1$s von %2$s Fotos gespeichert, dann ist die Story fehlgeschlagen
Saved %1$s original photos	%1$s Originalfotos gespeichert
Saved one original photo	Ein Originalfoto gespeichert
Saved, override off	Gespeichert, Überschreibung aus
Saved. Restart TikTok to apply this.	Gespeichert. TikTok neu starten, damit das gilt.
Saving	Wird gespeichert
Saving %1$s original photos	%1$s Originalfotos werden gespeichert
Saving one original photo	Ein Originalfoto wird gespeichert
Saving settings backup	Einstellungssicherung wird gespeichert
Saving sticker	Sticker wird gespeichert
Saving the selected video quality	Die gewählte Videoqualität wird gespeichert
Saving the selected video quality without sound	Die gewählte Videoqualität wird ohne Ton gespeichert
Saving the story	Story wird gespeichert
Saving video and subtitles to %1$s	Video und Untertitel werden in %1$s gespeichert
Screen	Bildschirm
Screen time	Bildschirmzeit
Search	Suche
Search by name, description or category.	Nach Name, Beschreibung oder Kategorie suchen.
Search and override gates	Gates suchen und überschreiben
Search countries or operators	Nach Ländern oder Anbietern suchen
Search hidden creators	Ausgeblendete Creator durchsuchen
Search settings	Einstellungen durchsuchen
Search share actions	Share-Aktionen durchsuchen
Search within comments	In Kommentaren suchen
Search these comments	Diese Kommentare durchsuchen
Search translated titles and descriptions, then open the original setting.	Übersetzte Titel und Beschreibungen durchsuchen und dann die ursprüngliche Einstellung öffnen.
Ask TikTok for search results that aren't personalized to your account. This changes results, not search buttons or suggestions.	Fordere Suchergebnisse an, die nicht auf dein Konto zugeschnitten sind. Das ändert die Ergebnisse, nicht die Suchschaltflächen oder Vorschläge.
Search by name or gate key	Nach Name oder Gate-Schlüssel suchen
Seconds. Zero keeps every length. If everything the feed just sent would be filtered out, the video closest to your limit is kept so the feed is not empty.	Sekunden. Null behält jede Länge. Würde alles wegfallen, was der Feed gerade geschickt hat, bleibt das Video, das deinem Limit am nächsten kommt, damit der Feed nicht leer ist.
Seek by	Sprungweite
Seek from the edges	Von den Rändern springen
Seen	Gesehen
Seen this session	In dieser Sitzung gesehen
Seen videos	Bereits gesehene Videos
Seen videos cleared. You can undo until TikTok closes.	Gesehene Videos gelöscht. Bis TikTok geschlossen wird, kannst du dies rückgängig machen.
Seen videos put back	Gesehene Videos zurückgeholt
Select	Auswählen
Select at least one field.	Wähle mindestens ein Feld aus.
Select every tab	Jeden Tab auswählen
Selected	Ausgewählt
Send links to another app	Links an eine andere App senden
Sending feedback	Rückmeldung wird gesendet
Series posts	Serienbeiträge
Settings	Einstellungen
Settings are back to their defaults. Restart TikTok to apply all changes.	Die Einstellungen stehen wieder auf den Standardwerten. TikTok neu starten, um alle Änderungen zu übernehmen.
Settings backup saved	Einstellungssicherung gespeichert
Settings couldn't open	Die Einstellungen konnten nicht geöffnet werden
Settings couldn't refresh completely. Reopen settings and try again.	Die Einstellungen konnten nicht vollständig aktualisiert werden. Öffne die Einstellungen erneut und versuche es noch einmal.
Settings restored. Restart TikTok to apply all changes.	Einstellungen wiederhergestellt. TikTok neu starten, um alle Änderungen zu übernehmen.
Settings restored. The Feature Gate Lab rules were for another TikTok version and were left out. Restart TikTok to apply all changes.	Einstellungen wiederhergestellt. Die Regeln des Feature Gate Labs galten für eine andere TikTok-Version und wurden ausgelassen. TikTok neu starten, um alle Änderungen zu übernehmen.
Share	Teilen
Hide share actions	Share-Aktionen ausblenden
Share links through another host	Links über einen anderen Host teilen
Share sheet	Teilen-Menü
Shop	Shop
Shop posts	Shop-Beiträge
Show	Anzeigen
Show @username beside a video instead of the display name the creator chose.	Zeigt @Benutzername neben einem Video statt des Anzeigenamens, den die Person gewählt hat.
Show search in LIVE	Suche in LIVE anzeigen
Show TikTok's feed buttons	TikToks Feed-Tasten anzeigen
Show TikTok's own progress bar on videos where it is normally hidden.	TikToks eigene Fortschrittsleiste bei Videos zeigen, wo sie sonst versteckt ist.
Show TikTok's own sort sheet on every post, with its hot, newest, media and creator options, instead of whichever cut-down row your account was given. Restart TikTok to apply this. It reads the style once per run and remembers it.	TikToks eigenes Sortiermenü bei jedem Beitrag zeigen, mit Beliebt, Neueste, Medien und Ersteller, statt der gekürzten Zeile, die dein Konto bekommen hat. TikTok neu starten, damit das gilt. Es liest den Stil einmal pro Start und merkt ihn sich.
Show the search entry inside TikTok's LIVE drawer, where available. This doesn't add a search box to video comments.	Zeige die Suchfunktion im LIVE-Seitenmenü von TikTok an, sofern verfügbar. Dadurch wird kein Suchfeld zu Videokommentaren hinzugefügt.
Show a video preview thumbnail while dragging the progress bar.	Beim Ziehen des Fortschrittsbalkens ein Vorschaubild des Videos zeigen.
Show the block button on videos	Blockieren-Schaltfläche auf Videos anzeigen
Show the block sound button	Die Schaltfläche zum Blockieren des Sounds anzeigen
Show failures on screen	Fehler auf dem Bildschirm anzeigen
Show gates	Schalter anzeigen
Show last report	Letzten Bericht anzeigen
Show the hide button on videos	Ausblenden-Schaltfläche auf Videos anzeigen
Show the Not interested button	Knopf Kein Interesse anzeigen
Show the country a video was posted from next to the creator's name.	Das Land, aus dem ein Video veröffentlicht wurde, neben dem Namen des Creators anzeigen.
Show the current spoken caption while the other controls are hidden.	Den aktuell gesprochenen Untertitel anzeigen, während die anderen Bedienelemente ausgeblendet sind.
Show the handle instead of the name	@Namen statt Anzeigenamen zeigen
Show the progress bar	Fortschrittsbalken anzeigen
Show the progress bar thumbnail	Vorschaubild im Fortschrittsbalken anzeigen
Show the whole Activity and New followers lists instead of stopping at a View all button.	Die vollständigen Listen „Aktivität“ und „Neue Follower“ anzeigen, statt bei einer Schaltfläche „Alle anzeigen“ zu enden.
Show the whole video instead of cropping it to the window. Nothing changes on a tall phone, where it already fits. On a folding phone opened up, a squarer screen or a split view the sides or the ends stop being cut off.	Das ganze Video zeigen, statt es auf das Fenster zuzuschneiden. Auf einem hohen Telefon ändert sich nichts, dort passt es bereits. Auf einem aufgeklappten Falttelefon, einem quadratischeren Bildschirm oder im geteilten Bildschirm werden die Seiten oder die Enden nicht mehr abgeschnitten.
Show what is left of the budget	Restliches Budget anzeigen
Show when the camera or microphone is in use	Anzeigen, wenn Kamera oder Mikrofon benutzt werden
Show where a video was posted	Herkunftsland anzeigen
Showing %1$s again	%1$s wieder anzeigen
Hide videos with blocked sounds	Videos mit gesperrten Sounds ausblenden
Skip content warnings	Inhaltswarnungen überspringen
Hide recorded LIVE broadcasts from the feed.	Aufgezeichnete LIVE-Übertragungen aus dem Feed ausblenden.
Hide videos marked as using promotional music.	Videos ausblenden, die als Werbemusik gekennzeichnet sind.
Hide videos that use a sound blocked with the player's sound button, or named below.	Videos ausblenden, deren Sound über die Sound-Taste im Player gesperrt wurde oder unten aufgeführt ist.
Skipping videos with %1$s	Videos mit %1$s werden übersprungen
Something is missing from %1$s. Tap for the whole report.	Bei %1$s fehlt etwas. Tippe für den vollständigen Bericht.
Sound link copied	Soundlink kopiert
Sound saved to %1$s	Sound gespeichert unter %1$s
Source	Quelle
Speed	Geschwindigkeit
Speed menu choices	Auswahl im Geschwindigkeitsmenü
Split comment minimum width	Mindestbreite für geteilte Kommentare
Start each new video at your default. A manual choice lasts until the video changes.	Jedes neue Video mit deinem Standard starten. Eine manuelle Auswahl gilt, bis das Video wechselt.
Start feature gate recording	Feature-Gate-Aufzeichnung starten
Start recording	Aufzeichnung starten
Start the day at	Tag beginnt um
Start today over	Heute neu beginnen
Sticker	Sticker
Sticker destination	Speicherort für Sticker
Sticker saved to %1$s	Sticker gespeichert in %1$s
Still here. Nothing is waiting.	Immer noch hier. Es wartet nichts.
Still reading the record. Tap again in a moment.	Der Verlauf wird noch gelesen. Tippe gleich noch einmal.
Still saving the last one	Das letzte wird noch gespeichert
Stop ByteDance AppLog events, AppsFlyer attribution, explicit Firebase screen reports and crash reporting from being sent. TikTok's own diagnostics go quiet with them.	ByteDance-AppLog-Ereignisse, AppsFlyer-Attribution, explizite Firebase-Bildschirmberichte und Absturzmeldungen nicht mehr senden. TikToks eigene Diagnose verstummt damit ebenfalls.
Stop TikTok asking the screen to run at the frame rate of the video it is playing. On a 90 or 120 Hz phone that ask slows the whole app down to the video's rate, scrolling included.	Verhindert, dass TikTok den Bildschirm auf die Bildrate des laufenden Videos herunterregelt. Auf einem 90 oder 120 Hz Telefon bremst diese Anfrage die ganze App auf die Rate des Videos aus, das Scrollen eingeschlossen.
Stop TikTok listening to the accelerometer, gyroscope, magnetometer and the other motion sensors it uses to fingerprint the phone. Saves the battery they wake.	Verhindert, dass TikTok Beschleunigungssensor, Gyroskop, Magnetometer und die anderen Bewegungssensoren abhört, mit denen es das Telefon identifiziert. Spart den Akku, den sie wecken.
Stop TikTok reading what you copied. Copying a link from TikTok still works.	Verhindert, dass TikTok liest, was du kopiert hast. Einen Link aus TikTok zu kopieren funktioniert weiterhin.
Stop TikTok reporting that you viewed a story or a profile, or that you are typing. Online status is unchanged. It cannot undo what the server has already recorded.	Verhindert, dass TikTok meldet, dass du eine Story oder ein Profil angesehen hast oder gerade tippst. Der Online-Status bleibt unverändert. Was der Server bereits erfasst hat, lässt sich damit nicht rückgängig machen.
